	prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
40	Q96QK1	P34110	Yes	No	PTHR11099	PTHR11099
41	Q8TBB5	Q08979	Yes	Yes	PTHR46063	PTHR46063
42	Q7KZN9	P40086	Yes	Yes	PTHR23289	PTHR23289
43	P62987	P0CH08	Yes	Yes	PTHR10666	PTHR10666
44	Q7L1V2	P53129	Yes	No	PTHR13027	PTHR13027
45	O15457	P40965	Yes	Yes	PTHR11361	PTHR11361
46	Q13867	Q01532	Yes	Yes	PTHR10363	PTHR10363
47	Q92621	P47054	Yes	No	PTHR31344	PTHR31344
48	Q8NEB5	Q05521	Yes	No	PTHR10165	PTHR10165
49	Q9H3G5	P38109	Yes	No	PTHR11802	PTHR11802
50	P12955	P43590	Yes	Yes	PTHR43226	PTHR43226
51	Q5I7T1	P50076	Yes	Yes	PTHR12989	PTHR12989
52	Q6UB35	P09440	Yes	Yes	PTHR48099	PTHR48099
53	Q6UB35	P07245	Yes	Yes	PTHR48099	PTHR48099
54	Q14667	Q06116	Yes	No	PTHR15678	PTHR15678
55	Q14667	Q06179	Yes	No	PTHR15678	PTHR15678
56	Q9UNZ2	P34223	Yes	No	PTHR23333	PTHR23333
57	O14737	Q04773	Yes	Yes	PTHR10840	PTHR10840
58	Q9H270	P12868	Yes	Yes	PTHR23323	PTHR23323
59	Q13596	Q92331	Yes	No	PTHR10555	PTHR10555
60	O60841	P39730	Yes	No	PTHR43381	PTHR43381
61	P22570	P48360	Yes	Yes	PTHR11938	PTHR11938
62	Q08752	P53691	Yes	Yes	PTHR11071	PTHR11071
63	P63165	Q12306	Yes	Yes	PTHR10562	PTHR10562
64	P16455	P26188	Yes	No	PTHR46460	PTHR10815
65	O75663	Q12199	Yes	No	PTHR21021	PTHR21021
66	Q6PML9	Q08970	Yes	No	PTHR13414	PTHR43840
67	Q9UGP8	P14906	Yes	No	PTHR24075	PTHR24075
68	Q9Y3C7	P38633	Yes	No	PTHR13186	PTHR13186
69	O00233	P40555	Yes	Yes	PTHR12651	PTHR12651
70	Q9UBD6	P41948	Yes	No	PTHR11730	PTHR43029
71	Q92990	P38315	Yes	No	PTHR15430	PTHR28020
72	Q6P587	P53889	Yes	Yes	PTHR11820	PTHR11820
73	Q8N5I2	P53179	Yes	No	PTHR11188	PTHR11188
74	Q96C45	P27636	Yes	No	PTHR46562	PTHR24361
75	Q96SB8	Q12749	Yes	Yes	PTHR19306	PTHR19306
76	Q8N0S6	P38265	Yes	No	PTHR31740	
77	Q99471	Q04493	Yes	Yes	PTHR12674	PTHR12674
78	Q9UIJ7	P26364	Yes	No	PTHR23359	PTHR23359
79	Q9Y620	P38086	Yes	Yes	PTHR45629	PTHR45629
80	Q5H8A4	P40367	Yes	No	PTHR23072	PTHR23072
81	Q9Y2L1	Q08162	Yes	Yes	PTHR23355	PTHR23355
82	Q9Y2R4	P45818	Yes	Yes	PTHR24031	PTHR24031
83	Q6P3X3	P42842	Yes	Yes	PTHR16193	PTHR16193
84	P62081	P48164	Yes	No	PTHR11278	PTHR11278
85	P35244	P26755	Yes	No	PTHR15114	
86	Q5H9L4	Q05021	Yes	No	PTHR12228	PTHR12228
87	P51668	P15732	Yes	No	PTHR24068	PTHR24068
88	O00429	P54861	Yes	Yes	PTHR11566	PTHR11566
89	Q9H0S4	P38712	Yes	Yes	PTHR24031	PTHR24031
90	Q9Y5R4	P53944	Yes	No	PTHR18895	PTHR18895
91	P63172	P40045	Yes	No	PTHR21255	
92	Q15526	P53266	Yes	No	PTHR23427	PTHR23427
93	Q96S44	P53323	Yes	Yes	PTHR12209	PTHR12209
94	Q9GZS1	Q01080	Yes	Yes	PTHR14440	PTHR14440
95	Q9H9Y2	P38805	Yes	Yes	PTHR22734	PTHR22734
96	Q92968	P80667	Yes	Yes	PTHR19332	PTHR19332
97	Q9UBZ4	P38207	Yes	Yes	PTHR22748	PTHR22748
98	P61604	P38910	Yes	Yes	PTHR10772	PTHR10772
99	Q05932	Q08645	Yes	No	PTHR11136	PTHR11136
100	P0DN79	P32582	Yes	No	PTHR10314	PTHR10314
101	Q9NV06	P33750	Yes	Yes	PTHR22851	PTHR22851
102	Q16513	P24583	Yes	No	PTHR24356	PTHR24356
103	Q8IZP6	P53769	Yes	No	PTHR12930	PTHR12930
104	O14929	Q12341	Yes	Yes	PTHR12046	PTHR12046
105	Q16850	P10614	Yes	Yes	PTHR24286	PTHR24286
106	O00487	P43588	Yes	Yes	PTHR10410	PTHR10410
107	P59998	P33204	Yes	Yes	PTHR22629	PTHR22629
108	Q9NW13	P37838	Yes	No	PTHR48039	PTHR48039
109	O60906	P40015	Yes	No	PTHR12393	PTHR12393
110	P46782	P26783	Yes	Yes	PTHR11205	PTHR11205
111	Q12834	P26309	Yes	No	PTHR19918	PTHR19918
112	P62273	P41057	Yes	Yes	PTHR12010	PTHR12010
113	P62312	Q06406	Yes	Yes	PTHR11021	PTHR11021
114	P49642	P10363	Yes	Yes	PTHR10536	PTHR10536
115	Q9NVN8	P40010	Yes	No	PTHR11089	PTHR11089
116	P53675	P22137	Yes	Yes	PTHR10292	PTHR10292
117	Q06203	P04046	Yes	Yes	PTHR11907	PTHR11907
118	Q8TAT6	P33755	Yes	Yes	PTHR12710	PTHR12710
119	P51553	P28834	Yes	Yes	PTHR11835	PTHR11835
120	O43143	P53131	Yes	Yes	PTHR18934	PTHR18934
121	Q15393	Q04693	Yes	Yes	PTHR10644	PTHR10644
122	P49354	P29703	Yes	No	PTHR11129	PTHR11129
123	Q9H8Y5	Q04311	Yes	No	PTHR16036	PTHR16036
124	Q14197	Q12322	Yes	No	PTHR11075	PTHR11075
125	P62333	P53549	Yes	Yes	PTHR23073	PTHR23073
126	P36776	P36775	Yes	Yes	PTHR43718	PTHR43718
127	Q5SR56	P46996	Yes	No	PTHR23504	PTHR23507
128	Q13564	Q12059	Yes	Yes	PTHR10953	PTHR10953
129	Q96JB2	P40094	Yes	No	PTHR13302	PTHR13302
130	P24666	P40347	Yes	Yes	PTHR11717	PTHR11717
131	P13716	P05373	Yes	Yes	PTHR11458	PTHR11458
132	Q9ULQ0	P53917	Yes	No	PTHR13239	PTHR13239
133	Q9NVU7	P53313	Yes	Yes	PTHR12730	PTHR12730
134	Q14914	Q03102	Yes	Yes	PTHR43205	PTHR43205
135	P35250	P40339	Yes	Yes	PTHR11669	PTHR11669
136	Q07326	Q06636	Yes	No	PTHR43157	PTHR43157
137	Q86UA1	P39682	Yes	No	PTHR17204	PTHR17204
138	Q9UJX6	Q12440	Yes	No	PTHR45957	PTHR45957
139	O60762	P14020	Yes	Yes	PTHR43398	PTHR43398
140	P06737	P06738	Yes	Yes	PTHR11468	PTHR11468
141	Q99720	P32352	Yes	No	PTHR10868	PTHR10868
142	O15381	Q07844	Yes	No	PTHR23077	PTHR23077
143	Q14691	Q12488	Yes	Yes	PTHR12914	PTHR12914
144	Q8NBN7	P53878	Yes	No	PTHR43157	PTHR24320
145	Q9Y3B8	P54964	Yes	No	PTHR11046	PTHR11046
146	P50990	P47079	Yes	Yes	PTHR11353	PTHR11353
147	O75356	P32621	Yes	No	PTHR11782	PTHR11782
148	Q10570	Q06632	Yes	Yes	PTHR10644	PTHR10644
149	P0DI81	P38334	Yes	Yes	PTHR12403	PTHR12403
150	O15067	P38972	Yes	Yes	PTHR10099	PTHR10099
151	Q9Y5B9	P32558	Yes	Yes	PTHR13980	PTHR13980
152	Q9HD20	P39986	Yes	Yes	PTHR45630	PTHR45630
153	P08243	P49090	Yes	Yes	PTHR11772	PTHR11772
154	Q9Y5U8	P53157	Yes	No	PTHR14154	PTHR14154
155	P13797	P32599	Yes	Yes	PTHR19961	PTHR19961
156	Q9NQ55	Q12153	Yes	No	PTHR12661	PTHR12661
157	Q9Y3E5	P34222	Yes	No	PTHR12649	PTHR12649
158	Q9NW08	P22276	Yes	Yes	PTHR20856	PTHR20856
159	Q9NW08	P08518	Yes	Yes	PTHR20856	PTHR20856
160	Q9NTJ4	P22855	Yes	Yes	PTHR46017	PTHR46017
161	Q9BRQ8	P52923	Yes	No	PTHR43735	PTHR43735
162	P25440	P35817	Yes	No	PTHR45926	PTHR22880
163	Q53FA7	P38230	Yes	Yes	PTHR48106	PTHR48106
164	Q9BYD6	Q04599	Yes	No	PTHR36427	PTHR36427
165	Q9BSJ2	P38863	Yes	No	PTHR19302	PTHR19302
166	O60645	P32844	Yes	No	PTHR21292	PTHR21292
167	Q12996	P25298	Yes	No	PTHR19980	PTHR19980
168	P07108	P31787	Yes	Yes	PTHR23310	PTHR23310
169	P21912	P21801	Yes	Yes	PTHR11921	PTHR11921
170	Q9BTV6	P38332	Yes	No	PTHR46042	PTHR46042
171	Q53H54	Q04235	Yes	No	PTHR23245	PTHR23245
172	Q14527	P32849	Yes	No	PTHR45626	PTHR45626
173	P49721	P22141	Yes	Yes	PTHR11599	PTHR11599
174	Q13107	P39538	Yes	No	PTHR21646	PTHR21646
175	P23526	P39954	Yes	Yes	PTHR23420	PTHR23420
176	P54819	P07170	Yes	Yes	PTHR23359	PTHR23359
177	Q13795	Q02804	Yes	Yes	PTHR45909	PTHR45909
178	Q8N142	P80210	Yes	Yes	PTHR11846	PTHR11846
179	Q9Y6B6	P20606	Yes	Yes	PTHR45684	PTHR45684
180	Q9BQC3	P32461	Yes	Yes	PTHR10762	PTHR10762
181	Q86X76	P47016	Yes	Yes	PTHR23088	PTHR23088
182	Q9Y5K1	P23179	Yes	Yes	PTHR10848	PTHR10848
183	Q9Y316	P47085	Yes	Yes	PTHR11060	PTHR11060
184	O75694	P38181	Yes	No	PTHR10350	PTHR10350
185	O95486	P40482	Yes	No	PTHR13803	PTHR13803
186	O95373	P46970	Yes	Yes	PTHR10997	PTHR10997
187	Q13608	P33760	Yes	No	PTHR23077	PTHR23077
188	O43933	P24004	Yes	No	PTHR23077	PTHR23077
189	Q08J23	P38205	Yes	Yes	PTHR22808	PTHR22808
190	Q16774	P15454	Yes	Yes	PTHR23117	PTHR23117
191	Q99807	P41735	Yes	Yes	PTHR11237	PTHR11237
192	Q96EK6	P43577	Yes	No	PTHR13355	PTHR13355
193	Q96RQ1	Q04651	Yes	Yes	PTHR10984	PTHR10984
194	Q70IA6	P43563	Yes	No	PTHR22599	PTHR22599
195	P07741	P49435	Yes	Yes	PTHR32315	PTHR32315
196	Q13257	P40958	Yes	Yes	PTHR11842	PTHR11842
197	Q9H490	P41733	Yes	Yes	PTHR13121	PTHR13121
198	Q9UBH6	P40528	Yes	No	PTHR10783	PTHR10783
199	Q9UBB4	P25355	Yes	No	PTHR13255	PTHR13255
200	Q9NRZ9	P43610	Yes	No	PTHR47161	PTHR10799
201	P62072	P87108	Yes	No	PTHR11038	PTHR11038
202	P31939	P38009	Yes	Yes	PTHR11692	PTHR11692
203	Q8N3C0	P53327	Yes	No	PTHR24075	PTHR47961
204	Q8N3C0	P32639	Yes	Yes	PTHR24075	PTHR24075
205	P49207	P40525	Yes	No	PTHR46595	PTHR10759
206	P49207	P87262	Yes	Yes	PTHR46595	PTHR10759
207	P62266	P0CX29	Yes	Yes	PTHR11652	PTHR11652
208	Q969H6	P28005	Yes	Yes	PTHR15441	PTHR10993
209	O95433	Q12449	Yes	Yes	PTHR13009	PTHR13009
210	Q9H6V9	Q06522	Yes	Yes	PTHR13390	PTHR13390
211	Q00325	P40035	Yes	Yes	PTHR45671	PTHR45671
212	Q13347	P40217	Yes	Yes	PTHR19877	PTHR19877
213	P51665	Q08723	Yes	Yes	PTHR10540	PTHR10540
214	Q99570	P22219	Yes	Yes	PTHR17583	PTHR17583
215	Q9Y297	P39014	Yes	No	PTHR14604	PTHR22847
216	Q03426	P07277	Yes	Yes	PTHR43290	PTHR43290
217	Q8N0X4	P21826	Yes	No	PTHR11105	PTHR42902
218	Q8TCF1	P53899	Yes	Yes	PTHR14677	PTHR14677
219	O14981	P32333	Yes	Yes	PTHR36498	PTHR36498
220	P11498	P11154	Yes	Yes	PTHR43778	PTHR43778
221	P11498	P32327	Yes	Yes	PTHR43778	PTHR43778
222	Q5TC12	P32453	Yes	No	PTHR13126	PTHR13126
223	Q9GZT4	P36007	Yes	Yes	PTHR43050	PTHR43050
224	Q9NV31	P32899	Yes	Yes	PTHR11831	PTHR11831
225	Q9Y397	Q06551	Yes	Yes	PTHR22883	PTHR22883
226	O95478	P40078	Yes	Yes	PTHR12642	PTHR12642
227	P09104	P42222	Yes	Yes	PTHR11902	PTHR11902
228	P04035	P12683	Yes	No	PTHR10572	PTHR10572
229	Q16539	P32485	Yes	Yes	PTHR24055	PTHR24055
230	P83881	P0CX28	Yes	Yes	PTHR10369	PTHR10369
231	Q92535	P46961	Yes	No	PTHR12982	PTHR12982
232	Q9BZJ4	P53320	Yes	Yes	PTHR45760	PTHR45760
233	Q9NUM3	Q12067	Yes	Yes	PTHR16133	PTHR11040
234	Q96ST3	P22579	Yes	No	PTHR12346	PTHR12346
235	O95749	Q12051	Yes	Yes	PTHR12001	PTHR12001
236	P08865	P32905	Yes	No	PTHR11489	PTHR11489
237	Q9P1Q0	Q12071	Yes	No	PTHR12965	PTHR12965
238	Q8TET4	P38138	Yes	No	PTHR22762	PTHR22762
239	O00160	Q04439	Yes	Yes	PTHR13140	PTHR13140
240	Q9NQZ2	Q12136	Yes	No	PTHR13237	PTHR13237
241	Q53F39	P40986	Yes	No	PTHR13315	PTHR13315
242	Q15257	Q12461	Yes	No	PTHR10012	PTHR10012
243	P49917	Q08387	Yes	Yes	PTHR45997	PTHR45997
244	Q9H300	P53259	Yes	No	PTHR43731	PTHR43731
245	Q8N5U6	Q06436	Yes	No	PTHR12983	PTHR12983
246	Q9NUD9	P38211	Yes	No	PTHR12468	PTHR12468
247	Q6PGP7	P17883	Yes	No	PTHR15704	PTHR15704
248	P60174	P00942	Yes	Yes	PTHR21139	PTHR21139
249	Q8TEQ8	Q07830	Yes	Yes	PTHR23071	PTHR23071
250	P13639	P32324	Yes	Yes	PTHR42908	PTHR42908
251	Q3KRA6	P36154	Yes	Yes	PTHR18444	PTHR18444
252	P61758	P48363	Yes	Yes	PTHR12409	PTHR12409
253	P42696	Q08208	Yes	No	PTHR23236	PTHR23236
254	P30050	P0CX53	Yes	Yes	PTHR11661	PTHR11661
255	Q15008	Q06103	Yes	Yes	PTHR14145	PTHR14145
256	Q9UF12	P09368	Yes	No	PTHR13914	PTHR13914
257	Q9UNS1	P53840	Yes	No	PTHR22940	PTHR22940
258	Q9UJX4	Q08683	Yes	No	PTHR12830	PTHR12830
259	Q96GW9	P22438	Yes	Yes	PTHR43326	PTHR43326
260	Q9NX24	P32495	Yes	Yes	PTHR23105	PTHR23105
261	Q9P2J9	Q12511	Yes	No	PTHR13832	PTHR13832
262	Q92572	P47064	Yes	Yes	PTHR11753	PTHR11753
263	Q9H0R6	Q03557	Yes	Yes	PTHR11895	PTHR11895
264	P26885	P32472	Yes	No	PTHR45779	PTHR45779
265	P10809	P19882	Yes	Yes	PTHR45633	PTHR45633
266	Q8N3P4	P39702	Yes	No	PTHR12616	PTHR12616
267	P56589	P28795	Yes	No	PTHR28080	PTHR28080
268	P00558	P00560	Yes	Yes	PTHR11406	PTHR11406
269	Q13526	P22696	Yes	Yes	PTHR10657	PTHR10657
270	O75419	Q08032	Yes	Yes	PTHR10507	PTHR10507
271	Q5VTQ0	P36114	Yes	No	PTHR31859	PTHR31859
272	P78371	P39076	Yes	Yes	PTHR11353	PTHR11353
273	O60739	P32911	Yes	No	PTHR10388	PTHR10388
274	Q9NTJ3	Q12267	Yes	Yes	PTHR43939	PTHR18937
275	Q8WUA4	Q06339	Yes	No	PTHR15052	PTHR15052
276	Q6ICL3	P53275	Yes	Yes	PTHR17985	PTHR17985
277	O60884	P25491	Yes	No	PTHR43888	PTHR43888
278	Q6GTS8	P27614	Yes	Yes	PTHR45962	PTHR45962
279	Q9BV10	P53730	Yes	Yes	PTHR22760	PTHR22760
280	Q92521	P30777	Yes	Yes	PTHR22760	PTHR22760
281	P33991	P30665	Yes	Yes	PTHR11630	PTHR11630
282	Q3SXM5	P38286	Yes	No	PTHR44889	PTHR43086
283	Q76EJ3	P40107	Yes	No	PTHR11132	PTHR11132
284	O75146	P33338	Yes	No	PTHR10407	PTHR10407
285	Q9BUN8	Q12743	Yes	No	PTHR11009	PTHR11009
286	Q9HC24	P48558	Yes	No	PTHR23291	PTHR23291
287	Q8TEX9	P40069	Yes	Yes	PTHR10527	PTHR10527
288	P23434	P39726	Yes	No	PTHR11715	PTHR11715
289	Q9NUN7	P38298	Yes	No	PTHR46187	PTHR46187
290	Q9UNX3	P05743	Yes	Yes	PTHR11143	PTHR11143
291	P11926	P08432	Yes	Yes	PTHR11482	PTHR11482
292	P28066	P32379	Yes	Yes	PTHR11599	PTHR11599
293	Q15363	P32803	Yes	Yes	PTHR22811	PTHR22811
294	Q9Y5Q9	P33339	Yes	No	PTHR23082	PTHR23082
295	Q9NYV6	P36070	Yes	No	PTHR12790	PTHR12790
296	Q99426	P53904	Yes	Yes	PTHR18916	
297	Q9H269	Q03308	Yes	No	PTHR12811	PTHR12811
298	P21549	P43567	Yes	Yes	PTHR21152	PTHR21152
299	P18074	P06839	Yes	Yes	PTHR11472	PTHR11472
300	Q9UPQ8	P20048	Yes	No	PTHR13205	PTHR13205
301	O95544	P32622	Yes	No	PTHR20275	PTHR20275
302	P24390	P18414	Yes	No	PTHR10585	PTHR10585
303	P42356	P37297	Yes	No	PTHR10048	PTHR10048
304	Q9NQL2	P53290	Yes	No	PTHR11259	PTHR11259
305	P23378	P49095	Yes	Yes	PTHR11773	PTHR11773
306	Q68CQ1	Q06164	Yes	No	PTHR23120	PTHR28122
307	Q15649	P46973	Yes	No	PTHR13483	PTHR13483
308	Q9BW19	P17119	Yes	No	PTHR24115	PTHR47972
309	Q15035	P38703	Yes	No	PTHR12371	PTHR12560
310	Q9HAY2	Q05541	Yes	No	PTHR11736	PTHR11736
311	Q9H0V9	P36137	Yes	No	PTHR12223	PTHR12223
312	Q16543	P06101	Yes	No	PTHR12800	PTHR12800
313	P20618	P23724	Yes	Yes	PTHR32194	PTHR11599
314	P50336	P40012	Yes	Yes	PTHR42923	PTHR42923
315	Q5JS54	Q12245	Yes	No	PTHR33559	
316	Q5T5C0	P38163	Yes	No	PTHR10241	PTHR10241
317	Q16864	P39111	Yes	Yes	PTHR13861	PTHR13861
318	Q6IBS0	P53250	Yes	Yes	PTHR13759	PTHR13759
319	Q6P1X5	P23255	Yes	No	PTHR15137	PTHR15137
320	P09110	P27796	Yes	Yes	PTHR43853	PTHR43853
321	Q0GE19	Q05131	Yes	Yes	PTHR18640	PTHR18640
322	Q9UQE7	P47037	Yes	Yes	PTHR43977	PTHR43977
323	Q5MNZ6	P50079	Yes	No	PTHR11227	PTHR11227
324	Q9BY32	P47119	Yes	Yes	PTHR11067	PTHR11067
325	Q9NT62	P40344	Yes	Yes	PTHR12866	PTHR12866
326	Q9NRR5	P48510	Yes	No	PTHR10677	PTHR10677
327	P04179	P00447	Yes	Yes	PTHR11404	PTHR11404
328	P47897	P13188	Yes	Yes	PTHR43097	PTHR43097
329	Q92539	P32567	Yes	No	PTHR12181	PTHR12181
330	P42898	P53128	Yes	Yes	PTHR45754	PTHR45754
331	O95363	P08425	Yes	Yes	PTHR11538	PTHR11538
332	Q9UI10	P12754	Yes	No	PTHR10233	PTHR10233
333	O14530	Q04004	Yes	Yes	PTHR21148	PTHR21148
334	P52565	Q12434	Yes	Yes	PTHR10980	PTHR10980
335	P40429	P26785	Yes	No	PTHR11545	PTHR11545
336	P62633	P53849	Yes	Yes	PTHR23002	PTHR23002
337	P62873	P18851	Yes	No	PTHR19850	PTHR19850
338	Q8IY18	Q08204	Yes	No	PTHR45916	PTHR45916
339	O15523	P24784	Yes	Yes	PTHR47958	PTHR47958
340	Q8IVS2	Q12283	Yes	No	PTHR42681	PTHR42681
341	B5ME19	P32497	Yes	No	PTHR13937	PTHR13937
342	Q9Y2V7	P53959	Yes	No	PTHR21506	PTHR21506
343	Q02218	P20967	Yes	Yes	PTHR23152	PTHR23152
344	P50991	P39078	Yes	Yes	PTHR11353	PTHR11353
345	P22314	P22515	Yes	Yes	PTHR10953	PTHR10953
346	Q86U70	Q07684	Yes	No	PTHR10378	PTHR10378
347	Q9H0C8	P35182	Yes	No	PTHR13832	PTHR13832
348	Q6N069	P12945	Yes	Yes	PTHR22767	PTHR22767
349	Q9Y5N5	Q03920	Yes	Yes	PTHR45875	PTHR45875
350	P50579	P38174	Yes	No	PTHR45777	PTHR45777
351	P27708	P07259	Yes	Yes	PTHR11405	PTHR11405
352	O15144	P53731	Yes	Yes	PTHR12058	PTHR12058
353	Q13535	P38111	Yes	No	PTHR11139	PTHR11139
354	P60484	P53916	Yes	No	PTHR12305	PTHR12305
355	P52655	P32773	Yes	No	PTHR12694	PTHR12694
356	Q12874	P19736	Yes	No	PTHR12786	PTHR12786
357	Q16775	Q05584	Yes	No	PTHR11935	PTHR11935
358	Q8N766	P25574	Yes	No	PTHR21573	PTHR21573
359	O95255	P39109	Yes	Yes	PTHR24223	PTHR24223
360	Q9Y282	P39727	Yes	Yes	PTHR10984	PTHR10984
361	Q13286	P47040	Yes	Yes	PTHR10981	PTHR10981
362	Q8NFH5	Q03790	Yes	No	PTHR21527	PTHR21527
363	Q9GZV4	P19211	Yes	Yes	PTHR11673	PTHR11673
364	P48637	Q08220	Yes	Yes	PTHR11130	PTHR11130
365	P62701	P0CX36	Yes	Yes	PTHR11581	PTHR11581
366	P00966	P22768	Yes	Yes	PTHR11587	PTHR11587
367	P30038	P07275	Yes	Yes	PTHR14516	PTHR42862
368	Q969Y2	P32559	Yes	Yes	PTHR42714	PTHR42714
369	O60294	Q08282	Yes	No	PTHR46529	PTHR46529
370	Q9BZL1	Q6Q546	Yes	Yes	PTHR13042	PTHR13042
371	Q9UKY4	P31382	Yes	Yes	PTHR10050	PTHR10050
372	Q13200	P38764	Yes	Yes	PTHR10943	PTHR10943
373	Q9NUV7	P40970	Yes	No	PTHR13693	PTHR13693
374	Q07837	P53051	Yes	No	PTHR10357	PTHR10357
375	Q8NFV4	P53219	Yes	Yes	PTHR46118	PTHR46118
376	Q9UJ83	P39994	Yes	Yes	PTHR43710	PTHR43710
377	P10599	P22803	Yes	Yes	PTHR10438	PTHR10438
378	Q15477	P35207	Yes	Yes	PTHR12131	PTHR12131
379	Q6NVY1	P28817	Yes	No	PTHR43176	PTHR43176
380	Q9BXP2	P38329	Yes	No	PTHR11827	PTHR11827
381	Q9HBU6	Q03764	Yes	No	PTHR22603	PTHR22603
382	O76094	P38688	Yes	No	PTHR14094	PTHR14094
383	Q96E22	Q12063	Yes	No	PTHR21528	PTHR21528
384	Q02543	P0CX24	Yes	Yes	PTHR10052	PTHR10052
385	Q9UBU7	P32325	Yes	No	PTHR15375	PTHR15375
386	Q9UG63	P40024	Yes	Yes	PTHR19211	PTHR19211
387	Q7L2J0	Q08641	Yes	No	PTHR12315	PTHR22809
388	Q16576	P39984	Yes	No	PTHR22850	PTHR22850
389	Q53HI1	P36125	Yes	Yes	PTHR12841	PTHR12841
390	Q93050	P32563	Yes	Yes	PTHR11629	PTHR11629
391	Q9NWX6	P53215	Yes	No	PTHR12729	PTHR12729
392	P05423	P25441	Yes	No	PTHR13408	PTHR13408
393	P35251	P38630	Yes	No	PTHR23389	PTHR23389
394	Q8WTW4	P39923	Yes	No	PTHR12991	PTHR12991
395	Q13085	Q00955	Yes	Yes	PTHR45728	PTHR45728
396	Q13085	P32874	Yes	Yes	PTHR45728	PTHR45728
397	Q06609	P25454	Yes	Yes	PTHR22942	PTHR22942
398	P28072	P38624	Yes	Yes	PTHR11599	PTHR11599
399	O60312	P32660	Yes	No	PTHR24092	PTHR24092
400	Q15185	P28707	Yes	No	PTHR22932	PTHR22932
401	O43169	P40312	Yes	Yes	PTHR19359	PTHR19359
402	O14818	P40303	Yes	Yes	PTHR11599	PTHR11599
403	P04818	P06785	Yes	Yes	PTHR11548	PTHR11548
404	P13693	P35691	Yes	Yes	PTHR11991	PTHR11991
405	P25789	P23638	Yes	Yes	PTHR11599	PTHR11599
406	P52758	P40037	Yes	No	PTHR11803	PTHR11803
407	P62753	P0CX37	Yes	Yes	PTHR11502	PTHR11502
408	P62753	P0CX38	Yes	Yes	PTHR11502	PTHR11502
409	Q9P253	P27801	Yes	No	PTHR23323	PTHR23323
410	P53582	Q01662	Yes	Yes	PTHR43330	PTHR43330
411	Q5VYK3	P38737	Yes	No	PTHR23346	PTHR23346
412	O60671	P48581	Yes	No	PTHR10870	PTHR10870
413	P17707	P21182	Yes	Yes	PTHR11570	PTHR11570
414	Q13885	P02557	Yes	Yes	PTHR11588	PTHR11588
415	Q9HC21	P53257	Yes	Yes	PTHR24089	PTHR24089
416	Q14674	Q03018	Yes	No	PTHR12792	PTHR12792
417	P53602	P32377	Yes	Yes	PTHR10977	PTHR10977
418	Q5SY16	Q07845	Yes	No	PTHR12755	PTHR12755
419	Q96BY7	P53855	Yes	No	PTHR13190	PTHR13190
