prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
P16615	P22700	Yes	Yes	PTHR42861	PTHR42861
Q9Y530	A8JNW5	Yes	No	PTHR12521	PTHR12521
A8MYP8	Q9VCJ6	Yes	No	PTHR21580	PTHR21580
Q2M296	Q9VN21	Yes	No	PTHR13017	PTHR13017
Q96DI7	Q9VPL0	Yes	Yes	PTHR44006	PTHR44006
Q8TBZ6	Q9VR56	Yes	No	PTHR13563	PTHR13563
Q4VC12	Q9W1H2	Yes	No	PTHR46920	
Q53GD3	Q9VAP3	Yes	No	PTHR12385	PTHR12385
P10768	Q7KSB5	Yes	Yes	PTHR10061	PTHR10061
O60566	Q9VMS5	Yes	No	PTHR14030	PTHR14030
Q8IY92	Q9VHT6	Yes	No	PTHR21541	
P50395	Q9VLB7	Yes	No	PTHR11787	PTHR11787
Q96K21	Q4QQ70	Yes	Yes	PTHR46603	PTHR46603
Q9NWM8	A0A0B4K7C5	Yes	Yes	PTHR46222	PTHR45779
Q9P2L0	Q9W097	Yes	Yes	PTHR16517	PTHR12764
Q13445	Q9VXY9	Yes	No	PTHR22811	PTHR22811
Q04323	Q9VSC5	Yes	Yes	PTHR46340	PTHR46340
P33176	P17210	Yes	Yes	PTHR24115	PTHR24115
Q8WV22	Q9VMA0	Yes	No	PTHR20973	PTHR20973
Q92600	Q7JVP2	Yes	Yes	PTHR12262	PTHR12262
Q9NX20	Q9W547	Yes	Yes	PTHR12220	PTHR12220
P04062	Q8IMY3	Yes	No	PTHR11069	PTHR11069
Q96GD4	Q9VGF9	Yes	No	PTHR24350	PTHR24350
Q86U90	Q8SYJ9	Yes	No	PTHR17490	PTHR17490
Q8N7H5	Q9VN55	Yes	No	PTHR23188	PTHR23188
Q9NZ42	Q86BE9	Yes	Yes	PTHR16318	PTHR16318
P40938	Q9U9Q1	Yes	Yes	PTHR11669	PTHR11669
Q9BRG1	Q7JXV9	Yes	Yes	PTHR13149	PTHR13149
Q9BXA7	Q9VE58	Yes	No	PTHR24343	PTHR24343
Q9H0W9	Q9W0J9	Yes	Yes	PTHR13204	PTHR13204
Q9P021	Q9VL77	Yes	Yes	PTHR11805	PTHR11805
Q9P2D6	M9PGQ5	Yes	No	PTHR12482	PTHR12482
P62805	P84040	Yes	Yes	PTHR10484	PTHR10484
P00395	P00399	Yes	Yes	PTHR10422	PTHR10422
Q13608	A1Z8D1	Yes	No	PTHR23077	PTHR23077
P05198	P41374	Yes	Yes	PTHR10602	PTHR10602
Q08289	M9PD84	Yes	No	PTHR11824	PTHR11824
P24666	P82890	Yes	Yes	PTHR11717	PTHR11717
Q86XN8	Q9V4F3	Yes	No	PTHR23285	PTHR23285
Q96DB2	Q9VC26	Yes	Yes	PTHR48252	PTHR48252
Q9H9L4	A0A0B4LHU7	Yes	Yes	PTHR13453	PTHR13453
Q8NDA8	Q9W350	Yes	Yes	PTHR23120	PTHR23120
P03886	P18929	Yes	Yes	PTHR11432	PTHR11432
P15311	P46150	Yes	No	PTHR23281	PTHR23281
Q9BSB4	Q9VWQ1	Yes	Yes	PTHR13292	PTHR13292
A6NED2	Q9VD63	Yes	No	PTHR46849	PTHR46849
Q9Y3S2	Q9VAU9	Yes	Yes	PTHR13214	PTHR13214
Q7L3T8	Q9VZY9	Yes	Yes	PTHR42753	PTHR42753
Q9BRD0	Q9VC60	Yes	Yes	PTHR31809	PTHR31809
Q9BV86	Q6NN40	Yes	Yes	PTHR12753	PTHR12753
Q9BZZ5	Q9V431	Yes	Yes	PTHR12758	PTHR12758
P50213	Q9VWH4	Yes	Yes	PTHR11835	PTHR11835
Q16533	Q9VF25	Yes	No	PTHR15131	PTHR15131
O60218	M9PF61	Yes	Yes	PTHR11732	PTHR11732
Q9H3K2	Q9VIB2	Yes	Yes	PTHR23291	PTHR23291
Q9UP83	Q9VJD3	Yes	Yes	PTHR13228	PTHR13228
Q9UHK6	Q9VIK0	Yes	Yes	PTHR48228	PTHR48228
A0PJW6	Q7JW07	Yes	Yes	PTHR14549	PTHR14549
O60256	Q9VA53	Yes	Yes	PTHR10210	PTHR10210
P07858	Q9VY87	Yes	Yes	PTHR12411	PTHR12411
Q6UWH6	Q9W1R8	Yes	Yes	PTHR13144	PTHR13144
P62424	P46223	Yes	Yes	PTHR23105	PTHR23105
Q8N8U9	Q9W2H2	Yes	Yes	PTHR11339	PTHR46698
Q06546	Q04688	Yes	Yes	PTHR11849	PTHR11849
Q9UGJ1	Q9VKU7	Yes	Yes	PTHR19302	PTHR19302
O94925	Q1RL13	Yes	No	PTHR12544	PTHR12544
Q5T8I9	Q7K175	Yes	No	PTHR21404	PTHR21404
Q9Y5J9	Q9Y1A3	Yes	Yes	PTHR19338	PTHR19338
Q96HY6	Q9VDD1	Yes	No	PTHR48176	PTHR48176
Q7Z2Z2	Q9VV61	Yes	Yes	PTHR42908	PTHR42908
P54578	Q9VKZ8	Yes	Yes	PTHR43982	PTHR43982
Q9NRM2	Q9W1V7	Yes	Yes	PTHR13267	PTHR13267
Q9ULV3	Q9VT61	Yes	No	PTHR15491	PTHR15491
Q01650	Q9Y1A7	Yes	No	PTHR11785	PTHR11785
Q96P70	Q9VGP4	Yes	Yes	PTHR10997	PTHR10997
P30084	Q7JR58	Yes	Yes	PTHR11941	PTHR11941
Q5T013	P36951	Yes	Yes	PTHR43489	PTHR43489
Q96GG9	Q9VUQ8	Yes	Yes	PTHR12281	PTHR12281
O75381	Q9VPB8	Yes	No	PTHR23058	PTHR23058
O43572	Q9V3I3	Yes	Yes	PTHR13155	PTHR13155
Q6XQN6	Q9VQX4	Yes	Yes	PTHR11098	PTHR11098
P15498	Q9NHV9	Yes	No	PTHR45818	PTHR45818
Q9NVM6	Q9VGR0	Yes	Yes	PTHR44313	PTHR44313
Q9BYC5	Q9VYV5	Yes	Yes	PTHR13132	PTHR13132
Q9Y4P1	Q9VPW2	Yes	Yes	PTHR22624	PTHR22624
O75460	A8JR46	Yes	No	PTHR13954	PTHR13954
P50990	Q7K3J0	Yes	Yes	PTHR11353	PTHR11353
Q9H9J2	Q9VNC1	Yes	Yes	PTHR11207	PTHR11207
Q13084	Q9VMX0	Yes	No	PTHR13528	PTHR13528
Q15742	Q59E55	Yes	No	PTHR12623	PTHR12623
Q969N2	Q9W3G0	Yes	Yes	PTHR12959	PTHR12959
Q9H9Y2	Q9VKB4	Yes	No	PTHR22734	PTHR22734
Q9UGH3	Q9VH02	Yes	No	PTHR11119	PTHR11119
Q92838	Q8MUJ1	Yes	No	PTHR15151	PTHR15151
P00533	P04412	Yes	Yes	PTHR24416	PTHR24416
Q9UHI6	Q9V3C4	Yes	No	PTHR47958	PTHR47958
P82675	Q8SYP9	Yes	No	PTHR13718	PTHR13718
Q9H9C1	Q9VAG4	Yes	No	PTHR13364	PTHR13364
Q7L5Y6	Q9VKM4	Yes	Yes	PTHR13374	PTHR13374
Q9UBB9	Q9Y103	Yes	Yes	PTHR23329	PTHR23329
P98175	Q9VPY4	Yes	No	PTHR13948	PTHR13948
P15586	Q5BIL9	Yes	Yes	PTHR43108	PTHR43108
Q5T1A1	Q9W0V0	Yes	Yes	PTHR21041	PTHR21041
Q969T3	Q9VQG1	Yes	Yes	PTHR20939	PTHR20939
P62491	O18335	Yes	Yes	PTHR47979	PTHR47979
Q7Z401	Q9W3D3	Yes	No	PTHR12296	PTHR12296
Q8N108	A1Z6Z7	Yes	No	PTHR10865	PTHR10865
O43715	Q6NLJ9	Yes	No	PTHR46403	PTHR46403
Q6NWY9	Q9VQK5	Yes	Yes	PTHR11864	PTHR11864
Q96NR8	Q8MZG9	Yes	No	PTHR24320	PTHR24320
Q9Y3D7	Q9VF08	Yes	Yes	PTHR12388	PTHR12388
Q9UJX5	Q9W395	Yes	Yes	PTHR13260	PTHR13260
P62888	Q9VJ19	Yes	Yes	PTHR11449	PTHR11449
Q9H1N7	Q9VVD9	Yes	Yes	PTHR10778	PTHR10778
P06132	Q9V595	Yes	Yes	PTHR21091	PTHR21091
Q13510	Q9W369	Yes	No	PTHR28583	PTHR34180
Q9BQJ4	A0A0B4LHK8	Yes	No	PTHR14399	PTHR14399
P04818	O76511	Yes	Yes	PTHR11548	PTHR11548
Q5D0E6	Q9VXT0	Yes	No	PTHR16043	PTHR16043
Q96PE3	Q9VY47	Yes	No	PTHR12187	PTHR12187
P61586	P48148	Yes	Yes	PTHR24072	PTHR24072
O94979	A0A0B4LEZ1	Yes	Yes	PTHR13923	PTHR13923
Q9Y2G5	Q9W589	Yes	Yes	PTHR13398	PTHR13398
Q8IYS2	Q9VQ60	Yes	No	PTHR31386	PTHR31386
Q86TW2	Q9W133	Yes	Yes	PTHR43173	PTHR43173
Q969W1	Q9VB73	Yes	Yes	PTHR12246	PTHR12246
Q9P032	Q9VH39	Yes	Yes	PTHR13338	PTHR13338
Q9Y6G5	Q9VYV9	Yes	No	PTHR12333	PTHR12333
Q14542	Q9VPP0	Yes	No	PTHR10332	PTHR10332
Q15526	Q9U4F3	Yes	Yes	PTHR23427	PTHR23427
Q96S59	Q4Z8K6	Yes	No	PTHR12864	PTHR12864
Q14703	Q9VP10	Yes	Yes	PTHR43806	PTHR43806
Q8N0X7	Q9VN45	Yes	No	PTHR21068	PTHR21068
Q12882	Q9W374	Yes	Yes	PTHR43073	PTHR43073
Q5MAI5	Q9VMN3	Yes	No	PTHR24056	PTHR24056
Q96H12	Q9VQ27	Yes	No	PTHR21632	
P52907	Q9W2N0	Yes	Yes	PTHR10653	PTHR10653
Q96SL4	Q8IRD3	Yes	No	PTHR11592	PTHR11592
Q29RF7	A1Z8S6	Yes	No	PTHR12663	PTHR12663
Q6PHR2	Q9VHF6	Yes	Yes	PTHR24348	PTHR24348
Q92963	Q7JMZ0	Yes	No	PTHR24070	PTHR24070
Q9UBP5	Q7KM13	Yes	No	PTHR10985	PTHR10985
Q9Y3B4	Q9VRV7	Yes	Yes	PTHR12785	PTHR12785
Q6V702	Q9VFY6	Yes	Yes	PTHR33588	PTHR33588
Q6ZNW5	Q9VSZ5	Yes	No	PTHR20884	PTHR20884
Q04656	Q9VYT4	Yes	Yes	PTHR43520	PTHR43520
O43310	Q9VL73	Yes	No	PTHR23254	PTHR23254
Q14165	Q9VIG0	Yes	Yes	PTHR13460	PTHR13460
Q9Y606	E1JIR1	Yes	No	PTHR11142	PTHR11142
Q9H4Y5	Q9VSL3	Yes	No	PTHR43968	PTHR43968
P56706	P28465	Yes	Yes	PTHR12027	PTHR12027
Q96SB8	Q9VCB8	Yes	Yes	PTHR19306	PTHR19306
Q0P6D2	Q7KVC9	Yes	Yes	PTHR21093	PTHR21093
O60216	O96689	Yes	No	PTHR12585	PTHR12585
Q9NZC3	Q9VEU9	Yes	No	PTHR46320	PTHR46320
P32780	Q960E8	Yes	Yes	PTHR12856	PTHR12856
Q6JEL2	Q6GKZ1	Yes	Yes	PTHR24412	PTHR24412
Q9BV35	Q0E8F2	Yes	No	PTHR24089	PTHR24089
P61011	Q9V3D9	Yes	Yes	PTHR11564	PTHR11564
Q15797	P42003	Yes	Yes	PTHR13703	PTHR13703
Q9HD20	Q9VKJ6	Yes	Yes	PTHR45630	PTHR45630
Q9Y519	A1A714	Yes	Yes	PTHR23423	PTHR23423
O43929	Q9W102	Yes	Yes	PTHR12087	PTHR12087
Q8TE99	Q9VQ86	Yes	Yes	PTHR11567	PTHR11567
Q9C0B7	Q9VJ29	Yes	No	PTHR20959	PTHR20959
Q6YHU6	Q9VWB9	Yes	No	PTHR14387	PTHR14387
Q6ZWL3	Q9VA27	Yes	Yes	PTHR24291	PTHR24291
P05388	P19889	Yes	Yes	PTHR45699	PTHR45699
Q8N6Q8	Q86NX3	Yes	Yes	PTHR12496	PTHR12496
Q9HC38	Q9VRD4	Yes	Yes	PTHR46466	PTHR46466
Q96CW5	Q9XYP8	Yes	No	PTHR19302	PTHR19302
Q9BUD6	Q7JY80	Yes	No	PTHR11311	PTHR11311
P48444	Q9W555	Yes	Yes	PTHR10121	PTHR10121
Q9HA65	Q9VPL5	Yes	No	PTHR22957	PTHR22957
Q6P9B9	Q9VFS6	Yes	No	PTHR31697	PTHR31697
Q7Z6V5	Q9VEM0	Yes	Yes	PTHR11079	PTHR11079
Q96GD3	Q9VHA0	Yes	No	PTHR12247	PTHR12247
P63220	O76927	Yes	Yes	PTHR10442	PTHR10442
P61371	Q9VJ37	Yes	No	PTHR24204	PTHR24204
Q9UHC6	Q94887	Yes	Yes	PTHR15036	PTHR15036
Q9BVM4	Q9W0Y2	Yes	No	PTHR12510	PTHR12510
Q9UHW5	Q9VI70	Yes	Yes	PTHR21231	PTHR21231
Q86XA0	Q9VEZ4	Yes	No	PTHR14614	PTHR14614
Q9BUE0	Q9XZT1	Yes	Yes	PTHR13321	PTHR13321
P35222	P18824	Yes	Yes	PTHR45976	PTHR45976
Q9Y312	Q9VEA6	Yes	Yes	PTHR12689	PTHR12689
Q2M389	Q9VXH9	Yes	Yes	PTHR31409	PTHR31409
Q96E29	Q9VPD5	Yes	No	PTHR13068	PTHR13068
Q9Y234	Q8SX78	Yes	Yes	PTHR12561	PTHR12561
P33992	Q9VGW6	Yes	Yes	PTHR11630	PTHR11630
Q9BSD7	Q9VP84	Yes	Yes	PTHR43146	PTHR43146
Q6GMR7	Q7K2E1	Yes	Yes	PTHR43372	PTHR43372
Q14774	P10035	Yes	No	PTHR46808	PTHR46808
O95336	Q9VZ64	Yes	Yes	PTHR11054	PTHR11054
Q6ZN16	Q9VDS9	Yes	No	PTHR11584	PTHR11584
Q8NEZ3	A1ZBM3	Yes	Yes	PTHR14920	PTHR14920
Q9H2H8	Q8MKJ6	Yes	Yes	PTHR45625	PTHR45625
P62072	Q9W2D6	Yes	Yes	PTHR11038	PTHR11038
P36957	Q9VGQ1	Yes	No	PTHR43416	PTHR43416
Q13895	P51406	Yes	Yes	PTHR12821	PTHR12821
Q8IUH3	Q9VZE4	Yes	Yes	PTHR24012	PTHR10352
Q96S52	Q9VC10	Yes	Yes	PTHR21072	PTHR21072
P23378	Q9VH09	Yes	Yes	PTHR11773	PTHR11773
Q9Y4X5	Q94981	Yes	Yes	PTHR11685	PTHR11685
Q9UIJ5	A0A0B4LF16	Yes	Yes	PTHR22883	PTHR22883
Q5T5S1	Q8T3W3	Yes	No	PTHR47115	
P16519	Q9VBC7	Yes	Yes	PTHR42884	PTHR42884
P78406	Q9W2E7	Yes	Yes	PTHR10971	PTHR10971
Q9BXB1	Q7KTA0	Yes	No	PTHR24372	PTHR24372
Q5VW36	Q9W1Q5	Yes	No	PTHR16212	
O94973	P91926	Yes	Yes	PTHR22780	PTHR22780
Q8NHR9	P25843	Yes	Yes	PTHR11604	PTHR11604
Q9NUQ9	Q7K1H0	Yes	Yes	PTHR12422	PTHR12422
P29144	Q9V6K1	Yes	Yes	PTHR43806	PTHR43806
Q96C11	Q9VZJ8	Yes	Yes	PTHR43435	PTHR43435
O75439	Q9VFF0	Yes	Yes	PTHR11851	PTHR11851
Q14847	Q8I7C3	Yes	No	PTHR46218	PTHR46218
P00374	P17719	Yes	Yes	PTHR48069	PTHR48069
Q16774	Q9VTB3	Yes	Yes	PTHR23117	PTHR23117
Q9UJV9	Q9V3C0	Yes	Yes	PTHR47958	PTHR47958
Q5D1E8	Q8T0D9	Yes	No	PTHR12876	PTHR12876
Q96JX3	Q9VJ64	Yes	No	PTHR48182	PTHR48187
P68363	P06605	Yes	No	PTHR11588	PTHR11588
Q8N5B7	Q9W423	Yes	No	PTHR12560	PTHR12560
Q9BYJ9	Q9VBZ5	Yes	No	PTHR12357	PTHR12357
P24863	P25008	Yes	Yes	PTHR10026	PTHR10026
Q6UVK1	Q9VJ82	Yes	Yes	PTHR15036	PTHR15036
P01130	A8JRD0	Yes	No	PTHR24270	PTHR24270
Q7RTS9	Q7KNA0	Yes	Yes	PTHR12895	PTHR12895
Q9NWB7	Q9VQS5	Yes	Yes	PTHR16011	PTHR16011
Q9Y6G3	Q7K0A0	Yes	No	PTHR13450	PTHR13450
Q9H0D2	Q9VHD1	Yes	No	PTHR16089	PTHR16089
Q9HC52	P26017	Yes	No	PTHR46389	PTHR46389
Q86X55	Q9VH48	Yes	No	PTHR11006	PTHR11006
Q8IVS8	Q9VQC4	Yes	Yes	PTHR12227	PTHR12227
Q12931	A1Z6L9	Yes	Yes	PTHR11528	PTHR11528
Q9NV56	Q7K003	Yes	Yes	PTHR13581	PTHR13581
O96019	Q7K012	Yes	Yes	PTHR11937	PTHR11937
P50897	Q9W3C7	Yes	Yes	PTHR11247	PTHR11247
Q8N5M1	Q9VID7	Yes	Yes	PTHR21013	PTHR21013
P30405	P25007	Yes	No	PTHR11071	PTHR11071
P55058	Q9VQR0	Yes	No	PTHR10504	PTHR11008
P41743	A1Z9X0	Yes	Yes	PTHR24356	PTHR24356
Q9H6U8	Q9VBV8	Yes	Yes	PTHR22760	PTHR22760
O60476	P53624	Yes	No	PTHR11742	PTHR11742
Q5XPI4	Q9VFC4	Yes	Yes	PTHR13363	PTHR13363
P17735	Q9VY42	Yes	Yes	PTHR45744	PTHR45744
Q96BN2	Q8IPA1	Yes	Yes	PTHR21277	PTHR21277
Q8N2K1	Q9VEJ4	Yes	Yes	PTHR24068	PTHR24068
P15313	P31409	Yes	No	PTHR43389	PTHR43389
Q13442	Q9VLC4	Yes	No	PTHR22055	PTHR22055
P22234	Q9I7S8	Yes	Yes	PTHR43599	PTHR43599
P61421	Q9W4P5	Yes	Yes	PTHR11028	PTHR11028
Q14562	A1Z9L3	Yes	Yes	PTHR18934	PTHR18934
Q2WGJ9	B7Z0E5	Yes	No	PTHR47800	PTHR12546
P15927	Q9VIH1	Yes	Yes	PTHR13989	PTHR13989
Q8IWU5	Q9VEX0	Yes	No	PTHR43108	PTHR43108
P17542	Q9W4X2	Yes	No	PTHR13864	PTHR13864
Q9NW82	Q9W1J3	Yes	Yes	PTHR16017	PTHR16017
Q8WU79	A1Z7K6	Yes	Yes	PTHR45705	PTHR45705
Q99426	A1ZBM2	Yes	Yes	PTHR18916	PTHR18916
