prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
P23526	P39954	Yes	Yes	PTHR23420	PTHR23420
P54819	P07170	Yes	Yes	PTHR23359	PTHR23359
Q13795	Q02804	Yes	Yes	PTHR45909	PTHR45909
Q8N142	P80210	Yes	Yes	PTHR11846	PTHR11846
Q9Y6B6	P20606	Yes	Yes	PTHR45684	PTHR45684
Q9BQC3	P32461	Yes	Yes	PTHR10762	PTHR10762
Q86X76	P47016	Yes	Yes	PTHR23088	PTHR23088
Q9Y5K1	P23179	Yes	Yes	PTHR10848	PTHR10848
Q9Y316	P47085	Yes	Yes	PTHR11060	PTHR11060
O75694	P38181	Yes	No	PTHR10350	PTHR10350
O95486	P40482	Yes	No	PTHR13803	PTHR13803
O95373	P46970	Yes	Yes	PTHR10997	PTHR10997
Q13608	P33760	Yes	No	PTHR23077	PTHR23077
O43933	P24004	Yes	No	PTHR23077	PTHR23077
Q08J23	P38205	Yes	Yes	PTHR22808	PTHR22808
Q16774	P15454	Yes	Yes	PTHR23117	PTHR23117
Q99807	P41735	Yes	Yes	PTHR11237	PTHR11237
Q96EK6	P43577	Yes	No	PTHR13355	PTHR13355
Q96RQ1	Q04651	Yes	Yes	PTHR10984	PTHR10984
Q70IA6	P43563	Yes	No	PTHR22599	PTHR22599
P07741	P49435	Yes	Yes	PTHR32315	PTHR32315
Q13257	P40958	Yes	Yes	PTHR11842	PTHR11842
Q9H490	P41733	Yes	Yes	PTHR13121	PTHR13121
Q9UBH6	P40528	Yes	No	PTHR10783	PTHR10783
Q9UBB4	P25355	Yes	No	PTHR13255	PTHR13255
Q9NRZ9	P43610	Yes	No	PTHR47161	PTHR10799
P62072	P87108	Yes	No	PTHR11038	PTHR11038
P31939	P38009	Yes	Yes	PTHR11692	PTHR11692
Q8N3C0	P53327	Yes	No	PTHR24075	PTHR47961
P49207	P40525	Yes	No	PTHR46595	PTHR10759
P49207	P87262	Yes	Yes	PTHR46595	PTHR10759
P62266	P0CX29	Yes	Yes	PTHR11652	PTHR11652
Q969H6	P28005	Yes	Yes	PTHR15441	PTHR10993
O95433	Q12449	Yes	Yes	PTHR13009	PTHR13009
Q9H6V9	Q06522	Yes	Yes	PTHR13390	PTHR13390
Q00325	P40035	Yes	Yes	PTHR45671	PTHR45671
Q13347	P40217	Yes	Yes	PTHR19877	PTHR19877
P51665	Q08723	Yes	Yes	PTHR10540	PTHR10540
Q99570	P22219	Yes	Yes	PTHR17583	PTHR17583
Q9Y297	P39014	Yes	No	PTHR14604	PTHR22847
Q03426	P07277	Yes	Yes	PTHR43290	PTHR43290
Q8N0X4	P21826	Yes	No	PTHR11105	PTHR42902
Q8TCF1	P53899	Yes	Yes	PTHR14677	PTHR14677
O14981	P32333	Yes	Yes	PTHR36498	PTHR36498
P11498	P11154	Yes	No	PTHR43778	PTHR43778
Q5TC12	P32453	Yes	No	PTHR13126	PTHR13126
Q9GZT4	P36007	Yes	Yes	PTHR43050	PTHR43050
Q9NV31	P32899	Yes	Yes	PTHR11831	PTHR11831
Q9Y397	Q06551	Yes	Yes	PTHR22883	PTHR22883
O95478	P40078	Yes	Yes	PTHR12642	PTHR12642
P09104	P42222	Yes	No	PTHR11902	PTHR11902
P04035	P12683	Yes	No	PTHR10572	PTHR10572
Q16539	P32485	Yes	Yes	PTHR24055	PTHR24055
P83881	P0CX28	Yes	Yes	PTHR10369	PTHR10369
Q92535	P46961	Yes	No	PTHR12982	PTHR12982
Q9BZJ4	P53320	Yes	Yes	PTHR45760	PTHR45760
Q9NUM3	Q12067	Yes	Yes	PTHR16133	PTHR11040
Q96ST3	P22579	Yes	No	PTHR12346	PTHR12346
O95749	Q12051	Yes	Yes	PTHR12001	PTHR12001
P08865	P32905	Yes	No	PTHR11489	PTHR11489
Q9P1Q0	Q12071	Yes	No	PTHR12965	PTHR12965
Q8TET4	P38138	Yes	No	PTHR22762	PTHR22762
O00160	Q04439	Yes	Yes	PTHR13140	PTHR13140
Q9NQZ2	Q12136	Yes	No	PTHR13237	PTHR13237
Q53F39	P40986	Yes	No	PTHR13315	PTHR13315
Q15257	Q12461	Yes	No	PTHR10012	PTHR10012
P49917	Q08387	Yes	Yes	PTHR45997	PTHR45997
Q9H300	P53259	Yes	No	PTHR43731	PTHR43731
Q8N5U6	Q06436	Yes	No	PTHR12983	PTHR12983
Q9NUD9	P38211	Yes	No	PTHR12468	PTHR12468
Q6PGP7	P17883	Yes	No	PTHR15704	PTHR15704
P60174	P00942	Yes	Yes	PTHR21139	PTHR21139
Q8TEQ8	Q07830	Yes	Yes	PTHR23071	PTHR23071
P13639	P32324	Yes	Yes	PTHR42908	PTHR42908
Q3KRA6	P36154	Yes	Yes	PTHR18444	PTHR18444
P61758	P48363	Yes	Yes	PTHR12409	PTHR12409
P42696	Q08208	Yes	No	PTHR23236	PTHR23236
P30050	P0CX53	Yes	Yes	PTHR11661	PTHR11661
Q15008	Q06103	Yes	Yes	PTHR14145	PTHR14145
Q9UF12	P09368	Yes	No	PTHR13914	PTHR13914
Q9UNS1	P53840	Yes	No	PTHR22940	PTHR22940
Q9UJX4	Q08683	Yes	No	PTHR12830	PTHR12830
Q96GW9	P22438	Yes	Yes	PTHR43326	PTHR43326
Q9NX24	P32495	Yes	Yes	PTHR23105	PTHR23105
Q9P2J9	Q12511	Yes	No	PTHR13832	PTHR13832
Q92572	P47064	Yes	Yes	PTHR11753	PTHR11753
Q9H0R6	Q03557	Yes	Yes	PTHR11895	PTHR11895
P26885	P32472	Yes	No	PTHR45779	PTHR45779
P10809	P19882	Yes	Yes	PTHR45633	PTHR45633
Q8N3P4	P39702	Yes	No	PTHR12616	PTHR12616
P56589	P28795	Yes	No	PTHR28080	PTHR28080
P00558	P00560	Yes	Yes	PTHR11406	PTHR11406
Q13526	P22696	Yes	Yes	PTHR10657	PTHR10657
O75419	Q08032	Yes	Yes	PTHR10507	PTHR10507
Q5VTQ0	P36114	Yes	No	PTHR31859	PTHR31859
P78371	P39076	Yes	Yes	PTHR11353	PTHR11353
O60739	P32911	Yes	No	PTHR10388	PTHR10388
Q9NTJ3	Q12267	Yes	Yes	PTHR43939	PTHR18937
Q8WUA4	Q06339	Yes	No	PTHR15052	PTHR15052
Q6ICL3	P53275	Yes	Yes	PTHR17985	PTHR17985
O60884	P25491	Yes	No	PTHR43888	PTHR43888
Q6GTS8	P27614	Yes	Yes	PTHR45962	PTHR45962
Q9BV10	P53730	Yes	Yes	PTHR22760	PTHR22760
Q92521	P30777	Yes	Yes	PTHR22760	PTHR22760
P33991	P30665	Yes	Yes	PTHR11630	PTHR11630
Q3SXM5	P38286	Yes	No	PTHR44889	PTHR43086
Q76EJ3	P40107	Yes	No	PTHR11132	PTHR11132
O75146	P33338	Yes	No	PTHR10407	PTHR10407
Q9BUN8	Q12743	Yes	No	PTHR11009	PTHR11009
Q9HC24	P48558	Yes	No	PTHR23291	PTHR23291
Q8TEX9	P40069	Yes	Yes	PTHR10527	PTHR10527
P23434	P39726	Yes	No	PTHR11715	PTHR11715
Q9NUN7	P38298	Yes	No	PTHR46187	PTHR46187
Q9UNX3	P05743	Yes	Yes	PTHR11143	PTHR11143
P11926	P08432	Yes	Yes	PTHR11482	PTHR11482
P28066	P32379	Yes	Yes	PTHR11599	PTHR11599
Q15363	P32803	Yes	Yes	PTHR22811	PTHR22811
Q9Y5Q9	P33339	Yes	No	PTHR23082	PTHR23082
Q9NYV6	P36070	Yes	No	PTHR12790	PTHR12790
Q99426	P53904	Yes	Yes	PTHR18916	
Q9H269	Q03308	Yes	No	PTHR12811	PTHR12811
P21549	P43567	Yes	Yes	PTHR21152	PTHR21152
P18074	P06839	Yes	Yes	PTHR11472	PTHR11472
Q9UPQ8	P20048	Yes	No	PTHR13205	PTHR13205
O95544	P32622	Yes	No	PTHR20275	PTHR20275
P24390	P18414	Yes	No	PTHR10585	PTHR10585
P42356	P37297	Yes	No	PTHR10048	PTHR10048
Q9NQL2	P53290	Yes	No	PTHR11259	PTHR11259
P23378	P49095	Yes	Yes	PTHR11773	PTHR11773
Q68CQ1	Q06164	Yes	No	PTHR23120	PTHR28122
Q15649	P46973	Yes	No	PTHR13483	PTHR13483
Q9BW19	P17119	Yes	No	PTHR24115	PTHR47972
Q15035	P38703	Yes	No	PTHR12371	PTHR12560
Q9HAY2	Q05541	Yes	No	PTHR11736	PTHR11736
Q9H0V9	P36137	Yes	No	PTHR12223	PTHR12223
Q16543	P06101	Yes	No	PTHR12800	PTHR12800
P20618	P23724	Yes	Yes	PTHR32194	PTHR11599
P50336	P40012	Yes	Yes	PTHR42923	PTHR42923
Q5JS54	Q12245	Yes	No	PTHR33559	
Q5T5C0	P38163	Yes	No	PTHR10241	PTHR10241
Q16864	P39111	Yes	Yes	PTHR13861	PTHR13861
Q6IBS0	P53250	Yes	Yes	PTHR13759	PTHR13759
Q6P1X5	P23255	Yes	No	PTHR15137	PTHR15137
P09110	P27796	Yes	Yes	PTHR43853	PTHR43853
Q0GE19	Q05131	Yes	Yes	PTHR18640	PTHR18640
Q9UQE7	P47037	Yes	Yes	PTHR43977	PTHR43977
Q5MNZ6	P50079	Yes	No	PTHR11227	PTHR11227
Q9BY32	P47119	Yes	Yes	PTHR11067	PTHR11067
Q9NT62	P40344	Yes	Yes	PTHR12866	PTHR12866
Q9NRR5	P48510	Yes	No	PTHR10677	PTHR10677
P04179	P00447	Yes	Yes	PTHR11404	PTHR11404
P47897	P13188	Yes	Yes	PTHR43097	PTHR43097
Q92539	P32567	Yes	No	PTHR12181	PTHR12181
P42898	P53128	Yes	Yes	PTHR45754	PTHR45754
O95363	P08425	Yes	Yes	PTHR11538	PTHR11538
Q9UI10	P12754	Yes	No	PTHR10233	PTHR10233
O14530	Q04004	Yes	Yes	PTHR21148	PTHR21148
P52565	Q12434	Yes	Yes	PTHR10980	PTHR10980
P40429	P26785	Yes	No	PTHR11545	PTHR11545
P62633	P53849	Yes	Yes	PTHR23002	PTHR23002
P62873	P18851	Yes	No	PTHR19850	PTHR19850
Q8IY18	Q08204	Yes	No	PTHR45916	PTHR45916
O15523	P24784	Yes	Yes	PTHR47958	PTHR47958
Q8IVS2	Q12283	Yes	No	PTHR42681	PTHR42681
B5ME19	P32497	Yes	No	PTHR13937	PTHR13937
Q9Y2V7	P53959	Yes	No	PTHR21506	PTHR21506
Q02218	P20967	Yes	Yes	PTHR23152	PTHR23152
P50991	P39078	Yes	Yes	PTHR11353	PTHR11353
P22314	P22515	Yes	Yes	PTHR10953	PTHR10953
Q86U70	Q07684	Yes	No	PTHR10378	PTHR10378
Q9H0C8	P35182	Yes	No	PTHR13832	PTHR13832
Q6N069	P12945	Yes	Yes	PTHR22767	PTHR22767
Q9Y5N5	Q03920	Yes	Yes	PTHR45875	PTHR45875
P50579	P38174	Yes	No	PTHR45777	PTHR45777
P27708	P07259	Yes	Yes	PTHR11405	PTHR11405
O15144	P53731	Yes	Yes	PTHR12058	PTHR12058
Q13535	P38111	Yes	No	PTHR11139	PTHR11139
P60484	P53916	Yes	No	PTHR12305	PTHR12305
P52655	P32773	Yes	No	PTHR12694	PTHR12694
Q12874	P19736	Yes	No	PTHR12786	PTHR12786
Q16775	Q05584	Yes	No	PTHR11935	PTHR11935
Q8N766	P25574	Yes	No	PTHR21573	PTHR21573
Q9Y282	P39727	Yes	Yes	PTHR10984	PTHR10984
Q13286	P47040	Yes	Yes	PTHR10981	PTHR10981
Q8NFH5	Q03790	Yes	No	PTHR21527	PTHR21527
Q9GZV4	P19211	Yes	Yes	PTHR11673	PTHR11673
P48637	Q08220	Yes	Yes	PTHR11130	PTHR11130
P62701	P0CX36	Yes	Yes	PTHR11581	PTHR11581
P00966	P22768	Yes	Yes	PTHR11587	PTHR11587
P30038	P07275	Yes	Yes	PTHR14516	PTHR42862
Q969Y2	P32559	Yes	Yes	PTHR42714	PTHR42714
O60294	Q08282	Yes	No	PTHR46529	PTHR46529
Q9BZL1	Q6Q546	Yes	Yes	PTHR13042	PTHR13042
Q9UKY4	P31382	Yes	Yes	PTHR10050	PTHR10050
Q13200	P38764	Yes	Yes	PTHR10943	PTHR10943
Q9NUV7	P40970	Yes	No	PTHR13693	PTHR13693
Q07837	P53051	Yes	No	PTHR10357	PTHR10357
Q8NFV4	P53219	Yes	Yes	PTHR46118	PTHR46118
Q9UJ83	P39994	Yes	Yes	PTHR43710	PTHR43710
P10599	P22803	Yes	Yes	PTHR10438	PTHR10438
Q15477	P35207	Yes	Yes	PTHR12131	PTHR12131
Q6NVY1	P28817	Yes	No	PTHR43176	PTHR43176
Q9BXP2	P38329	Yes	No	PTHR11827	PTHR11827
Q9HBU6	Q03764	Yes	No	PTHR22603	PTHR22603
O76094	P38688	Yes	No	PTHR14094	PTHR14094
Q96E22	Q12063	Yes	No	PTHR21528	PTHR21528
Q02543	P0CX24	Yes	Yes	PTHR10052	PTHR10052
Q9UBU7	P32325	Yes	No	PTHR15375	PTHR15375
Q9UG63	P40024	Yes	Yes	PTHR19211	PTHR19211
Q7L2J0	Q08641	Yes	No	PTHR12315	PTHR22809
Q16576	P39984	Yes	No	PTHR22850	PTHR22850
Q53HI1	P36125	Yes	Yes	PTHR12841	PTHR12841
Q93050	P32563	Yes	Yes	PTHR11629	PTHR11629
Q9NWX6	P53215	Yes	No	PTHR12729	PTHR12729
P05423	P25441	Yes	No	PTHR13408	PTHR13408
P35251	P38630	Yes	No	PTHR23389	PTHR23389
Q8WTW4	P39923	Yes	No	PTHR12991	PTHR12991
Q06609	P25454	Yes	Yes	PTHR22942	PTHR22942
P28072	P38624	Yes	Yes	PTHR11599	PTHR11599
O60312	P32660	Yes	No	PTHR24092	PTHR24092
Q15185	P28707	Yes	No	PTHR22932	PTHR22932
O43169	P40312	Yes	Yes	PTHR19359	PTHR19359
O14818	P40303	Yes	Yes	PTHR11599	PTHR11599
P04818	P06785	Yes	Yes	PTHR11548	PTHR11548
P13693	P35691	Yes	Yes	PTHR11991	PTHR11991
P25789	P23638	Yes	Yes	PTHR11599	PTHR11599
P52758	P40037	Yes	No	PTHR11803	PTHR11803
P62753	P0CX37	Yes	Yes	PTHR11502	PTHR11502
P62753	P0CX38	Yes	Yes	PTHR11502	PTHR11502
Q9P253	P27801	Yes	No	PTHR23323	PTHR23323
P53582	Q01662	Yes	Yes	PTHR43330	PTHR43330
Q5VYK3	P38737	Yes	No	PTHR23346	PTHR23346
O60671	P48581	Yes	No	PTHR10870	PTHR10870
P17707	P21182	Yes	Yes	PTHR11570	PTHR11570
Q13885	P02557	Yes	No	PTHR11588	PTHR11588
Q9HC21	P53257	Yes	Yes	PTHR24089	PTHR24089
Q14674	Q03018	Yes	No	PTHR12792	PTHR12792
P53602	P32377	Yes	Yes	PTHR10977	PTHR10977
Q5SY16	Q07845	Yes	No	PTHR12755	PTHR12755
Q96BY7	P53855	Yes	No	PTHR13190	PTHR13190
O95396	P38820	Yes	Yes	PTHR10953	PTHR10953
P52209	P53319	Yes	Yes	PTHR11811	PTHR11811
Q99643	Q04487	Yes	No	PTHR10978	PTHR10978
P18621	P05740	Yes	Yes	PTHR11593	PTHR11593
P52657	P32774	Yes	Yes	PTHR10966	PTHR10966
P62306	P54999	Yes	Yes	PTHR11021	PTHR11021
P26639	P04801	Yes	Yes	PTHR11451	PTHR11451
Q9HAB8	P40506	Yes	Yes	PTHR12290	PTHR12290
Q9P2R7	P53312	Yes	Yes	PTHR11815	PTHR11815
O15131	Q02821	Yes	No	PTHR23316	PTHR23316
P13196	P09950	Yes	No	PTHR13693	PTHR13693
Q9GZL7	Q12024	Yes	Yes	PTHR19855	PTHR19855
O43913	P50874	Yes	Yes	PTHR12705	PTHR12705
Q9NVV5	P38842	Yes	No	PTHR10989	PTHR10989
Q9Y333	P38203	Yes	Yes	PTHR13829	PTHR13829
P61586	P06780	Yes	Yes	PTHR24072	PTHR24072
P49247	Q12189	Yes	No	PTHR11934	PTHR11934
Q9H3E2	Q01846	Yes	No	PTHR22775	PTHR22775
Q9Y3D8	Q12055	Yes	Yes	PTHR12595	PTHR12595
P51149	P32939	Yes	Yes	PTHR47981	PTHR47981
Q9NRM0	P38142	Yes	No	PTHR23503	PTHR23503
O00623	Q04370	Yes	Yes	PTHR12888	PTHR12888
Q9UNW1	P00635	Yes	No	PTHR20963	PTHR20963
O60359	P40169	Yes	No	PTHR12107	PTHR36414
Q9BT17	Q03151	Yes	Yes	PTHR45782	PTHR45782
Q9Y6V7	P38719	Yes	Yes	PTHR24031	PTHR24031
Q8NBU5	P28737	Yes	Yes	PTHR45644	PTHR45644
P29218	P38710	Yes	No	PTHR20854	PTHR20854
P49356	P22007	Yes	Yes	PTHR11774	PTHR11774
Q9HBH5	Q08651	Yes	No	PTHR24320	PTHR24320
Q96FK6	P53962	Yes	No	PTHR22889	PTHR22889
P20132	P25379	Yes	Yes	PTHR48078	PTHR48078
Q96MC6	P46996	Yes	No	PTHR23504	PTHR23507
Q9NWM0	P50264	Yes	No	PTHR10742	PTHR10742
P60709	P60010	Yes	Yes	PTHR11937	PTHR11937
Q7L523	Q00582	Yes	Yes	PTHR11259	PTHR11259
