prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
P40498	O74974	Yes	No	PTHR12933	PTHR12933
P16658	Q8TFH7	Yes	Yes	PTHR21227	PTHR21227
P25615	Q09693	Yes	No	PTHR11276	PTHR11276
P00890	Q10306	Yes	Yes	PTHR11739	PTHR11739
P40347	P41893	Yes	Yes	PTHR11717	PTHR11717
Q00539	O60176	Yes	No	PTHR47640	PTHR47640
Q08726	Q9UTL7	Yes	Yes	PTHR21231	PTHR21231
P26793	P39750	Yes	Yes	PTHR11081	PTHR11081
Q05911	O60105	Yes	Yes	PTHR43172	PTHR43172
P32776	O13745	Yes	No	PTHR12856	PTHR12856
P35194	O60055	Yes	No	PTHR17695	PTHR17695
P52918	O14116	Yes	Yes	PTHR11223	PTHR11223
P32353	O94457	Yes	Yes	PTHR11863	PTHR11863
Q12400	O14214	Yes	Yes	PTHR13563	PTHR13563
P13188	Q9Y7Y8	Yes	Yes	PTHR43097	PTHR43097
P43591	Q9UTC5	Yes	No	PTHR10285	PTHR10285
P33330	Q10349	Yes	Yes	PTHR43247	PTHR43247
Q01159	P40997	Yes	Yes	PTHR10367	PTHR10367
P28789	Q09899	Yes	Yes	PTHR11557	PTHR11557
P46962	O59748	Yes	Yes	PTHR10026	PTHR10026
P15700	O59771	Yes	Yes	PTHR23359	PTHR23359
Q06549	Q09190	Yes	Yes	PTHR11644	PTHR11644
P34077	O94418	Yes	Yes	PTHR11225	PTHR11225
Q03697	Q10354	Yes	Yes	PTHR11132	PTHR11132
P32327	Q9UUE1	Yes	Yes	PTHR43778	PTHR43778
P39676	Q9URY5	Yes	Yes	PTHR43396	PTHR43396
P36016	Q10061	Yes	Yes	PTHR45639	PTHR45639
P48567	O59721	Yes	Yes	PTHR13767	PTHR13767
Q07508	Q9USM4	Yes	Yes	PTHR12375	PTHR12375
Q12250	P0CU18	Yes	Yes	PTHR10855	PTHR10855
Q06551	O74384	Yes	No	PTHR22883	PTHR22883
P14908	Q9US51	Yes	Yes	PTHR11727	PTHR11727
Q03690	O59742	Yes	Yes	PTHR12601	PTHR12601
Q12252	Q09766	Yes	Yes	PTHR13018	PTHR13018
P53741	O94260	Yes	No	PTHR10693	PTHR10693
P38166	Q9P6K1	Yes	Yes	PTHR23137	PTHR23137
P47104	Q9Y817	Yes	No	PTHR13950	PTHR13950
P38862	O43069	Yes	Yes	PTHR10953	PTHR10953
P38791	O94337	Yes	Yes	PTHR11703	PTHR11703
P38992	O94298	Yes	No	PTHR11863	PTHR11863
P19414	O13966	Yes	Yes	PTHR43160	PTHR43160
P14843	Q9UT09	Yes	No	PTHR21225	PTHR21225
P38912	P55877	Yes	Yes	PTHR21668	PTHR21668
P53972	O14039	Yes	Yes	PTHR22807	PTHR22807
P32453	P87127	Yes	No	PTHR13126	PTHR13126
Q12450	O13770	Yes	No	PTHR22811	PTHR22811
Q05506	O74781	Yes	Yes	PTHR11956	PTHR11956
P39959	Q10076	Yes	No	PTHR14596	PTHR14596
P25339	Q92359	Yes	No	PTHR12537	PTHR12537
P38792	Q09704	Yes	Yes	PTHR21321	PTHR21321
Q01896	P22189	Yes	Yes	PTHR42861	PTHR42861
P39729	Q9UT21	Yes	Yes	PTHR43127	PTHR43127
P48566	P87234	Yes	No	PTHR22957	PTHR22957
P23968	O14046	Yes	Yes	PTHR10263	PTHR10263
P32893	O60099	Yes	No	PTHR28159	PTHR28159
Q05359	O14324	Yes	Yes	PTHR22811	PTHR22811
P04803	O42875	Yes	Yes	PTHR43766	PTHR43766
P36013	P40375	Yes	Yes	PTHR23406	PTHR23406
P38331	P87242	Yes	No	PTHR11845	PTHR11845
Q12208	O13915	Yes	No	PTHR13522	PTHR13522
P38842	Q96WV4	Yes	No	PTHR10989	PTHR10989
P43620	Q09877	Yes	No	PTHR16255	PTHR16255
Q00776	Q9HFE5	Yes	Yes	PTHR10529	PTHR10529
P07236	O13969	Yes	Yes	PTHR11451	PTHR11451
P32333	O43065	Yes	Yes	PTHR36498	PTHR36498
P34237	O59795	Yes	Yes	PTHR14043	PTHR14043
Q05902	O14194	Yes	No	PTHR11686	PTHR11686
P32790	O13736	Yes	Yes	PTHR15735	PTHR15735
Q01519	O94581	Yes	Yes	PTHR46281	PTHR46281
Q04121	O13726	Yes	Yes	PTHR10110	PTHR10110
Q01939	P41836	Yes	Yes	PTHR23073	PTHR23073
P32558	O94267	Yes	Yes	PTHR13980	PTHR13980
P20676	Q09904	Yes	No	PTHR23193	PTHR23193
P23643	O59796	Yes	No	PTHR12894	PTHR12894
P34223	Q9UT81	Yes	No	PTHR23333	PTHR23333
Q02795	O74943	Yes	No	PTHR12640	PTHR12640
P19657	P28876	Yes	No	PTHR42861	PTHR42861
P32463	Q10217	Yes	No	PTHR20863	PTHR20863
P61830	P09988	Yes	Yes	PTHR11426	PTHR11426
Q04740	Q9UST8	Yes	No	PTHR10642	PTHR10642
P47153	O13752	Yes	Yes	PTHR13439	PTHR13439
Q06833	O94464	Yes	No	PTHR13466	PTHR13466
P52917	Q09803	Yes	Yes	PTHR23074	PTHR23074
P40513	O94675	Yes	No	PTHR10826	PTHR10826
P10663	O42859	Yes	Yes	PTHR19836	PTHR19836
P17629	Q9URT2	Yes	No		PTHR13265
P32386	Q9P7V2	Yes	Yes	PTHR24223	PTHR24223
Q9URQ3	Q9P7N4	Yes	Yes	PTHR11079	PTHR11079
P38688	O59787	Yes	No	PTHR14094	PTHR14094
P40526	O14264	Yes	No	PTHR14624	PTHR14624
Q08977	Q9P6K3	Yes	Yes	PTHR28086	PTHR28086
Q12335	P30821	Yes	Yes	PTHR30546	PTHR30546
P36152	O74821	Yes	No	PTHR13273	PTHR13273
P42846	Q09799	Yes	No	PTHR14490	PTHR14490
P38852	O94693	Yes	No	PTHR13138	PTHR13138
P12904	Q10343	Yes	Yes	PTHR13780	PTHR13780
P32597	Q9UTN6	Yes	No	PTHR10799	PTHR10799
Q03790	O13838	Yes	No	PTHR21527	PTHR21527
Q02685	Q10160	Yes	No		
P07260	P78954	Yes	Yes	PTHR11960	PTHR11960
P35718	O94285	Yes	Yes	PTHR12709	PTHR12709
P50107	Q09751	Yes	Yes	PTHR10374	PTHR10374
Q08686	Q9USJ1	Yes	Yes	PTHR11364	PTHR11364
P38145	Q9Y7P0	Yes	Yes	PTHR21098	PTHR21098
P53914	P87115	Yes	Yes	PTHR10925	PTHR10925
P38934	Q9P3W6	Yes	Yes	PTHR31027	PTHR31027
Q03656	P36616	Yes	No	PTHR47634	PTHR47634
P05740	O14339	Yes	No	PTHR11593	PTHR11593
P04161	Q9UUK7	Yes	Yes	PTHR43369	PTHR43369
P36145	P79011	Yes	No	PTHR12716	PTHR12716
P53220	O94618	Yes	No	PTHR13032	PTHR13032
P25043	Q09841	Yes	Yes	PTHR11599	PTHR11599
Q12263	P87050	Yes	No	PTHR24343	PTHR24343
P08566	Q9P7R0	Yes	Yes	PTHR21090	PTHR21090
P0CX36	P87158	Yes	No	PTHR11581	PTHR11581
P36107	Q10142	Yes	Yes	PTHR31310	PTHR31310
P41811	O42937	Yes	Yes	PTHR19876	PTHR19876
P49167	Q9USR7	Yes	Yes	PTHR10965	PTHR10965
Q08231	Q9Y820	Yes	Yes	PTHR12732	PTHR12732
P17505	Q9Y7R8	Yes	Yes	PTHR11540	PTHR11540
P47159	Q12519	Yes	No	PTHR23520	PTHR23510
Q06339	O60174	Yes	No	PTHR15052	PTHR15052
P38874	O94495	Yes	Yes	PTHR15641	PTHR15641
P25641	O13934	Yes	No	PTHR47175	PTHR47175
P36010	P49740	Yes	Yes	PTHR11349	PTHR11349
P37291	O13972	Yes	Yes	PTHR11680	PTHR11680
P0CX40	O14049	Yes	No	PTHR10394	PTHR10394
P45978	Q9HGL3	Yes	No	PTHR13586	PTHR13586
Q06677	O13773	Yes	No	PTHR23172	PTHR23172
P32609	O13786	Yes	Yes	PTHR13510	PTHR13510
P36007	O59791	Yes	Yes	PTHR43050	PTHR43050
P47165	O13917	Yes	Yes	PTHR43363	PTHR43363
P40004	O74750	Yes	Yes	PTHR10778	PTHR10778
P38786	P87120	Yes	Yes	PTHR13031	PTHR13031
P14020	O14466	Yes	Yes	PTHR43398	PTHR43398
P52286	Q9Y709	Yes	Yes	PTHR11165	PTHR11165
Q12211	O94396	Yes	No	PTHR11142	PTHR11142
P27476	P41891	Yes	No	PTHR48024	PTHR48024
Q03771	Q1MTN8	Yes	No	PTHR46208	
P30657	Q9USQ9	Yes	Yes	PTHR11599	PTHR11599
P53959	O94677	Yes	No	PTHR21506	PTHR21506
P0C0T4	O74172	Yes	No	PTHR12850	PTHR12850
P0CH09	P0CH06	Yes	Yes	PTHR10666	PTHR10666
P27616	Q9UUB4	Yes	Yes	PTHR43700	PTHR43700
Q12114	Q92357	Yes	No	PTHR47351	PTHR47351
Q3E792	P79009	Yes	No	PTHR12850	PTHR12850
P07884	Q9UT75	Yes	Yes	PTHR11088	PTHR11088
P43548	O59831	Yes	Yes	PTHR43341	PTHR43341
P40360	O94330	Yes	No	PTHR23342	PTHR23342
P50086	Q10311	Yes	Yes	PTHR24180	PTHR24118
Q06525	Q09685	Yes	No	PTHR11864	PTHR11864
P13393	P17871	Yes	Yes	PTHR10126	PTHR10126
P38137	O74976	Yes	Yes	PTHR43201	PTHR43201
P41834	O94531	Yes	No	PTHR15959	PTHR15959
Q05924	O59759	Yes	No	PTHR32440	PTHR32440
P51996	P17610	Yes	No	PTHR47979	PTHR47979
P15625	O42870	Yes	Yes	PTHR11538	PTHR11538
P26448	P36618	Yes	Yes	PTHR22957	PTHR22957
P16451	O94709	Yes	No	PTHR23151	PTHR23151
Q02196	Q9P7G9	Yes	Yes	PTHR11055	PTHR11055
P39543	O94694	Yes	No		PTHR13605
P46972	Q9UST2	Yes	Yes	PTHR46041	PTHR46041
Q07729	O14057	Yes	Yes	PTHR11271	PTHR11271
P32179	O94505	Yes	Yes	PTHR43200	PTHR43200
Q08924	Q9USZ0	Yes	Yes	PTHR14344	PTHR14344
P32906	Q9P7C3	Yes	Yes	PTHR11742	PTHR11742
P25608	Q9P7F4	Yes	Yes	PTHR43482	PTHR45348
P32356	O42893	Yes	Yes	PTHR23403	PTHR23403
Q05919	O60149	Yes	No	PTHR15157	PTHR15157
P38813	Q9Y7R6	Yes	No	PTHR28285	PTHR28285
Q06508	Q9US27	Yes	No	PTHR23063	PTHR23063
P53378	P25295	Yes	Yes	PTHR11588	PTHR11588
P38698	O14094	Yes	Yes	PTHR12112	PTHR12112
P0CX46	P0CT72	Yes	Yes	PTHR13691	PTHR13691
P46673	Q9UUE5	Yes	Yes	PTHR13373	PTHR13373
P13433	O13993	Yes	No	PTHR10102	PTHR10102
Q12165	Q9P6R6	Yes	Yes	PTHR13822	PTHR13822
P32898	O42908	Yes	Yes	PTHR43016	PTHR43016
Q02821	O14063	Yes	No	PTHR23316	PTHR23316
Q08202	O60175	Yes	Yes	PTHR12925	PTHR12925
P07251	P24487	Yes	Yes	PTHR48082	PTHR48082
P32342	O13804	Yes	No	PTHR12834	PTHR12834
P07283	Q9UTJ2	Yes	Yes	PTHR10466	PTHR10466
P32804	O94639	Yes	Yes	PTHR11040	PTHR11040
Q03305	Q10170	Yes	Yes	PTHR32379	PTHR32379
P32628	O74803	Yes	Yes	PTHR10621	PTHR10621
P32621	Q9UT35	Yes	Yes	PTHR11782	PTHR11782
P09624	O00087	Yes	Yes	PTHR22912	PTHR22912
P39743	O74352	Yes	No	PTHR47174	PTHR47174
P17119	Q9US03	Yes	No	PTHR47972	PTHR24115
Q07540	O74831	Yes	No	PTHR16821	PTHR16821
P28817	O74802	Yes	Yes	PTHR43176	PTHR43176
P47083	O13910	Yes	No	PTHR17039	PTHR17039
P32617	Q9UTE8	Yes	No	PTHR31200	PTHR31200
P34160	O14253	Yes	No	PTHR12412	PTHR12412
Q07468	O13955	Yes	No	PTHR12894	PTHR12894
P36066	Q9P7N6	Yes	No	PTHR28142	PTHR28142
P34163	O74430	Yes	No	PTHR11005	PTHR11005
P47176	O14370	Yes	Yes	PTHR11825	PTHR11825
Q05515	Q09885	Yes	Yes	PTHR47107	PTHR47107
P54861	Q09748	Yes	Yes	PTHR11566	PTHR11566
P32347	Q9USJ5	Yes	Yes	PTHR21091	PTHR21091
P15365	O94491	Yes	Yes	PTHR43791	PTHR43791
Q02046	Q9P786	Yes	Yes	PTHR48099	PTHR48099
P32377	O13963	Yes	Yes	PTHR10977	PTHR10977
P38873	P87141	Yes	Yes	PTHR12848	PTHR12848
P36114	O94699	Yes	No	PTHR31859	PTHR31859
P40459	Q09673	Yes	Yes	PTHR21299	PTHR21299
P53686	Q9USN7	Yes	Yes	PTHR47651	PTHR47651
Q04264	Q9HFF5	Yes	Yes	PTHR12663	PTHR12663
P25451	Q9Y7T8	Yes	Yes	PTHR11599	PTHR11599
Q08965	O94653	Yes	Yes	PTHR12858	PTHR12858
P38426	Q9UUI7	Yes	No	PTHR10788	PTHR10788
Q03868	O13992	Yes	No	PTHR28076	PTHR28076
P54730	Q9P7L2	Yes	No	PTHR46467	PTHR46467
Q03020	Q9UTC6	Yes	Yes	PTHR10093	PTHR10093
Q07551	O13848	Yes	Yes	PTHR11732	PTHR11732
P31115	Q9UTB3	Yes	Yes	PTHR11142	PTHR11142
P49956	Q9USQ1	Yes	No	PTHR23389	PTHR23389
Q04437	Q9HGM8	Yes	No	PTHR12604	PTHR12604
P22211	O59763	Yes	No	PTHR24343	PTHR24343
P07213	O14217	Yes	No	PTHR46208	PTHR46208
P15703	O13990	Yes	Yes	PTHR16631	PTHR16631
P32622	Q9P7K3	Yes	No	PTHR20275	PTHR20275
P23254	Q9URM2	Yes	Yes	PTHR43522	PTHR43522
Q03104	Q9Y7X6	Yes	No		PTHR47372
P24783	P24782	Yes	Yes	PTHR47958	PTHR47958
Q03103	Q9Y7P1	Yes	Yes	PTHR12613	PTHR12613
P35842	P08091	Yes	No	PTHR20963	PTHR20963
P39998	O94752	Yes	No	PTHR13612	PTHR13612
Q12104	Q9P7J1	Yes	No	PTHR16161	PTHR16161
Q12093	O13947	Yes	Yes	PTHR11933	PTHR11933
P16140	P31411	Yes	Yes	PTHR43389	PTHR43389
P48589	O14062	Yes	Yes	PTHR11843	PTHR11843
Q12469	Q10056	Yes	Yes	PTHR48015	PTHR48015
Q03327	Q9UTF8	Yes	Yes	PTHR24089	PTHR24089
P00330	P00332	Yes	Yes	PTHR42940	PTHR42940
Q06205	O74191	Yes	No	PTHR43811	PTHR43811
P20053	Q9UTC7	Yes	Yes	PTHR19846	PTHR19846
P32771	O74540	Yes	Yes	PTHR43880	PTHR43880
P36163	Q9P7G4	Yes	Yes	PTHR22726	PTHR22726
P53969	Q10478	Yes	Yes	PTHR12815	PTHR12815
P03962	P14965	Yes	Yes	PTHR32119	PTHR32119
P39006	Q9UTB5	Yes	No	PTHR10067	PTHR10067
Q99383	O94432	Yes	No	PTHR48031	PTHR48027
P39108	P78798	Yes	Yes	PTHR46027	PTHR46027
P38623	O94547	Yes	No	PTHR24347	PTHR44167
Q04371	O94725	Yes	No	PTHR12260	PTHR12260
P36017	P36586	Yes	Yes	PTHR24073	PTHR24073
Q05580	Q76PD2	Yes	No	PTHR22938	PTHR22938
P12868	Q9P6N4	Yes	Yes	PTHR23323	PTHR23323
Q08278	O60104	Yes	No	PTHR21428	PTHR21428
P38707	O94567	Yes	Yes	PTHR22594	PTHR22594
Q12325	O74377	Yes	No	PTHR11814	PTHR11814
P32841	P36625	Yes	No		
P08417	O94552	Yes	Yes	PTHR11444	PTHR11444
Q05080	Q10199	Yes	Yes	PTHR23065	PTHR23065
P38880	Q10070	Yes	Yes	PTHR31068	PTHR31068
P25646	O14156	Yes	No	PTHR13832	PTHR13832
P18759	Q9P7Q4	Yes	Yes	PTHR23078	PTHR23078
P32521	Q10172	Yes	No	PTHR11216	PTHR11216
P27351	O43005	Yes	Yes	PTHR11134	PTHR11134
P38712	Q9P6N8	Yes	Yes	PTHR24031	PTHR24031
P19097	Q10289	Yes	Yes	PTHR10982	PTHR10982
Q12527	O14261	Yes	No	PTHR13222	PTHR13222
P36125	P87155	Yes	Yes	PTHR12841	PTHR12841
P38994	O13853	Yes	No	PTHR23086	PTHR23086
P36161	Q9UTH0	Yes	No	PTHR13405	PTHR13405
Q7LHG5	P0CT41	Yes	No	PTHR47266	PTHR47266
P38071	Q10488	Yes	Yes	PTHR43981	PTHR43981
Q06672	Q9UUA9	Yes	Yes	PTHR21250	PTHR21250
P0CW41	Q9P6J3	Yes	No	PTHR10357	PTHR10357
P53250	O94399	Yes	No	PTHR13759	PTHR13759
Q08496	O74991	Yes	No		
P11709	P79065	Yes	No	PTHR18916	PTHR18916
P34087	O14459	Yes	Yes	PTHR12709	PTHR12709
P22139	O13877	Yes	Yes	PTHR23431	PTHR23431
P22224	O75006	Yes	No	PTHR12702	PTHR12702
P32838	Q10298	Yes	Yes	PTHR45619	PTHR45619
P54839	P54874	Yes	Yes	PTHR43323	PTHR43323
Q01476	Q9P3U0	Yes	No	PTHR24006	
Q03193	Q10227	Yes	No	PTHR16201	PTHR16201
P49089	P78753	Yes	No	PTHR11772	PTHR11772
Q07844	O14325	Yes	Yes	PTHR23077	PTHR23077
Q03834	O74502	Yes	Yes	PTHR11361	PTHR11361
Q04179	Q10314	Yes	Yes	PTHR12304	PTHR12304
P15801	Q12704	Yes	Yes	PTHR10267	PTHR10267
P51998	O74801	Yes	Yes	PTHR10746	PTHR10746
P06704	O74435	Yes	Yes	PTHR23050	PTHR23050
P41810	Q9UUF7	Yes	Yes	PTHR10635	PTHR10635
Q03652	Q9P6K5	Yes	No	PTHR13391	PTHR13391
P37254	O94277	Yes	Yes	PTHR11236	PTHR11236
Q04773	O13929	Yes	Yes	PTHR10840	PTHR10840
P00045	P00046	Yes	Yes	PTHR11961	PTHR11961
P53248	Q9UT96	Yes	No		
P39986	O14072	Yes	Yes	PTHR45630	PTHR45630
Q12462	Q10333	Yes	Yes	PTHR12652	PTHR12652
Q06053	Q9UTH9	Yes	Yes	PTHR45846	PTHR45846
P24784	O13370	Yes	Yes	PTHR47958	PTHR47958
P46681	Q9C1X2	Yes	Yes	PTHR43716	PTHR43716
Q12040	O94461	Yes	Yes	PTHR48100	PTHR48100
P12954	Q10213	Yes	No	PTHR11070	PTHR11070
Q02455	O74424	Yes	No	PTHR18898	PTHR18898
Q03730	O94654	Yes	Yes	PTHR23051	PTHR23051
P53538	O42868	Yes	Yes	PTHR20383	PTHR20383
Q12347	O74531	Yes	Yes	PTHR12874	PTHR12874
Q06411	Q9UTK6	Yes	No	PTHR23329	PTHR23329
P50875	O14174	Yes	No	PTHR13526	
P10823	Q04665	Yes	No	PTHR10218	PTHR10218
P53230	O74339	Yes	No	PTHR13619	PTHR13619
Q07457	O74563	Yes	No	PTHR23163	PTHR23163
P10566	O14281	Yes	Yes	PTHR45758	PTHR45758
Q06680	Q10429	Yes	Yes	PTHR14418	PTHR14418
Q99247	Q09731	Yes	No	PTHR19862	PTHR19862
P53628	Q9P7S3	Yes	Yes	PTHR13844	PTHR13844
P38219	O13998	Yes	Yes	PTHR23305	PTHR23305
P32366	O13753	Yes	Yes	PTHR11028	PTHR11028
Q04002	Q09725	Yes	No	PTHR21704	PTHR21704
Q08144	Q9P6P1	Yes	Yes	PTHR19957	PTHR19957
P32500	O13961	Yes	No	PTHR13269	PTHR13269
Q06697	Q9UUE7	Yes	Yes	PTHR12466	PTHR12466
Q12522	O94476	Yes	Yes	PTHR10784	PTHR10784
P40086	Q10361	Yes	No	PTHR23289	PTHR23289
Q05863	Q9Y811	Yes	No	PTHR46203	PTHR46203
Q04562	Q9Y819	Yes	Yes	PTHR10766	PTHR10766
Q03048	P78929	Yes	Yes	PTHR11913	PTHR11913
P32559	Q9UTE7	Yes	Yes	PTHR42714	PTHR42714
P53290	O74544	Yes	Yes	PTHR11259	PTHR11259
P07170	P33075	Yes	Yes	PTHR23359	PTHR23359
P53599	O14299	Yes	No	PTHR48016	PTHR48016
P32432	Q9UTH8	Yes	No	PTHR23057	PTHR23057
P00163	P05501	Yes	Yes	PTHR19271	PTHR19271
P10614	Q09736	Yes	Yes	PTHR24286	PTHR24286
Q12024	Q9URY0	Yes	Yes	PTHR19855	PTHR19855
P38759	Q9UTI5	Yes	Yes	PTHR11124	PTHR11124
Q08548	O42916	Yes	Yes	PTHR13906	PTHR13906
P40032	Q11120	Yes	Yes	PTHR12117	PTHR12117
Q12328	P87146	Yes	Yes	PTHR14110	PTHR14110
P04802	O74407	Yes	Yes	PTHR43450	PTHR43450
Q06554	Q9UTL9	Yes	Yes	PTHR45626	PTHR45865
P53296	Q09710	Yes	No	PTHR28037	PTHR28037
P38629	O14003	Yes	Yes	PTHR11669	PTHR11669
Q12235	Q9C0V8	Yes	Yes	PTHR43791	PTHR43791
Q99186	Q09718	Yes	Yes	PTHR10529	PTHR10529
P11412	O00091	Yes	Yes	PTHR23429	PTHR23429
P40015	O74369	Yes	Yes	PTHR12393	PTHR12393
P14242	P54280	Yes	No	PTHR10073	PTHR10073
P38829	Q9UTL0	Yes	Yes	PTHR12377	PTHR12377
Q12036	G2TRL9	Yes	No		
P20484	O74453	Yes	No	PTHR44675	PTHR44675
P40517	Q09146	Yes	No	PTHR23138	PTHR23138
P36520	Q9Y7M5	Yes	No	PTHR12934	PTHR12934
P24004	O74941	Yes	No	PTHR23077	PTHR23077
Q06163	O13339	Yes	No	PTHR12066	PTHR12066
P32562	P50528	Yes	Yes	PTHR24345	PTHR24345
P24276	O94525	Yes	No	PTHR23355	PTHR23355
P0CX82	P05734	Yes	No	PTHR10722	PTHR10722
P16603	P36587	Yes	Yes	PTHR19384	PTHR19384
P40897	O14031	Yes	Yes	PTHR22601	PTHR22601
Q99258	O60181	Yes	Yes	PTHR21327	PTHR21327
P34761	O74452	Yes	No	PTHR10501	PTHR10501
P33767	O59866	Yes	Yes	PTHR10830	PTHR10830
P53335	Q9URX9	Yes	No	PTHR23149	PTHR23149
P32567	Q9UUJ6	Yes	Yes	PTHR12181	PTHR12181
P26309	P78972	Yes	No	PTHR19918	PTHR19918
P40354	O60178	Yes	No	PTHR11750	PTHR11750
Q06512	O94372	Yes	No	PTHR12455	PTHR12455
P32897	Q9USM7	Yes	Yes	PTHR15371	PTHR15371
P35996	O94292	Yes	Yes	PTHR11761	PTHR11761
P33760	O13764	Yes	No	PTHR23077	PTHR23077
P21576	Q9URZ5	Yes	Yes	PTHR11566	PTHR11566
P47154	Q10071	Yes	Yes	PTHR10120	PTHR10120
Q03124	Q9P7W8	Yes	No	PTHR22970	
P25356	Q7LKZ7	Yes	No	PTHR13743	PTHR13743
Q3E705	Q09867	Yes	No	PTHR33911	PTHR33911
P28263	Q9P7R4	Yes	No	PTHR24068	PTHR24068
P32626	Q9P6Q2	Yes	Yes	PTHR20371	PTHR20371
P47170	O74788	Yes	No	PTHR13179	PTHR13179
Q12680	Q9C102	Yes	Yes	PTHR11938	PTHR11938
P23503	Q9Y7N7	Yes	Yes	PTHR11615	PTHR11615
P21372	Q9P7C7	Yes	No	PTHR24031	PTHR24031
P07703	O94616	Yes	Yes	PTHR11800	PTHR11800
P33892	Q10105	Yes	Yes	PTHR23346	PTHR23346
Q3E785	Q9US02	Yes	Yes	PTHR13675	PTHR13675
P17883	O94474	Yes	Yes	PTHR15704	PTHR15704
P25301	Q9UUL2	Yes	No	PTHR22942	PTHR22942
P52492	O00103	Yes	Yes	PTHR24068	PTHR24068
Q04969	Q9UTQ9	Yes	Yes	PTHR13085	PTHR13085
Q12420	O94538	Yes	No	PTHR14152	PTHR14152
P41832	Q10059	Yes	No	PTHR47102	PTHR47102
P29311	P42657	Yes	No	PTHR18860	PTHR18860
P46995	O14026	Yes	No	PTHR22884	PTHR22884
P21182	Q9P7E3	Yes	Yes	PTHR11570	PTHR11570
Q03496	O60081	Yes	No	PTHR14387	PTHR14387
Q04344	O94586	Yes	Yes	PTHR46648	PTHR46648
Q03630	Q9UT70	Yes	Yes	PTHR23249	PTHR23249
